lsoa_code,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000436,192.12,99.86,100.0
E01000437,168.85,99.775,100.0
E01000438,160.45999999999998,98.74,99.86
E01000439,119.425,90.0,98.7
E01000440,182.35,100.0,100.0
E01000441,120.6,72.08,99.62
E01000442,166.8,93.4,100.0
E01000443,156.475,98.2,100.0
E01000444,169.8,91.9,98.5
E01000445,171.7,96.2,100.0
E01000446,170.21999999999997,99.36,100.0
E01000447,121.97999999999999,61.0,95.36
E01000448,215.425,97.45,99.825
E01000449,166.66000000000003,93.35999999999999,96.56
E01000450,167.82,99.84,100.0
E01000451,174.82,100.0,100.0
E01000452,178.35,98.825,100.0
E01000453,181.9,100.0,100.0
E01000454,158.23999999999998,98.5,100.0
E01000455,160.88,99.03999999999999,100.0
E01000456,200.725,100.0,100.0
E01000457,96.30999999999999,68.1,99.52000000000001
E01000458,121.51999999999998,84.17999999999999,100.0
E01000459,107.83333333333333,68.56666666666666,100.0
E01000460,46.55,1.175,90.675
E01000461,76.24,25.52,85.86
E01000462,76.75,30.25,99.64999999999999
E01000463,104.525,79.2,100.0
E01000464,86.525,40.400000000000006,99.65
E01000465,106.2,96.43333333333334,99.60000000000001
E01000466,86.76,77.03999999999999,93.08
E01000467,106.44000000000001,84.3,100.0
E01000468,127.8,85.1375,100.0
E01000469,112.08,99.56,99.84
E01000470,96.38,79.16,99.53999999999999
E01000471,155.525,97.275,100.0
E01000472,91.90625,46.05,97.9
E01000473,118.75,93.85,99.625
E01000474,175.15,99.4,100.0
E01000475,159.94,90.38,93.46000000000001
E01000476,165.575,97.075,97.45
E01000477,131.13,97.2,99.46000000000001
E01000478,162.7125,93.425,99.15
E01000479,171.925,96.5,100.0
E01000480,171.55,94.35,99.8
E01000481,117.78,89.67999999999999,98.82000000000001
E01000483,101.2,83.56,99.84
E01000484,144.975,98.75,100.0
E01000485,148.22500000000002,92.525,100.0
E01000486,182.475,99.6,99.6
E01000487,138.48000000000002,83.02000000000001,99.12
