lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,_merge,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.96,,,both,37.596,0.265,0.151,25.506,0.25,0.353,45.413000000000004,30.233000000000004,1566,104.425,97.125,97.45
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.953,,,both,32.887,0.196,0.118,31.462000000000003,0.097,0.644,43.725,30.045999999999996,1557,156.7,99.525,100.0
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.954,,,both,26.669,0.143,0.088,30.73,-0.143,0.558,45.088,20.153,2228,176.23333333333335,99.86666666666667,100.0
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.955,,,both,35.283,0.208,0.13,24.438,0.39,0.212,50.054,34.175,2107,134.68,91.9,97.7
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.941,,,both,39.89,0.228,0.17299999999999996,26.185,0.8169999999999998,0.32399999999999995,47.453,29.31,1692,146.0,88.7,100.0
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.959,,,both,29.266,0.174,0.105,25.037,0.214,0.008,47.111,26.795,2258,136.94,91.24,97.5
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.959,,,both,34.672,0.222,0.134,31.664,0.276,0.131,50.107,18.066,1811,125.3,84.3,100.0
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.952,0.95,0.955,both,43.523,0.275,0.167,27.219,0.636,0.786,51.428,26.265,2159,112.0,89.2,99.91428571428571
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.962,,,both,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274,2290,161.06666666666666,96.61666666666667,97.66666666666667
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.967,,,both,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,1498,133.9,95.5,100.0
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.958,,,both,40.044,0.229,0.126,27.703000000000003,0.701,1.217,49.479,26.503,1670,134.4,99.16,99.84
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.958,,,both,31.83,0.16,0.117,29.621999999999996,0.106,0.6339999999999999,42.938,38.207,1744,153.44,99.84,100.0
E01033587,Barking and Dagenham 021E,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.975,0.973,0.976,both,35.019,0.2,0.11,20.416,-0.149,0.669,58.179,43.024,2086,105.88333333400001,61.2,96.72
E01034479,Barking and Dagenham 021G,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.968,0.966,0.969,both,39.97062421830585,0.2799306424104605,0.154468732234224,24.982788231949968,0.5000056850483229,0.28103979533826035,51.80166827743036,20.286669130187608,3518,112.43333333333334,87.51833333333333,100.0
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.971,,,both,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,1947,122.75999999999999,92.02000000000001,99.86
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.966,,,both,16.375,0.087,0.07,16.481,-0.626,0.032,31.781,28.36,1882,172.9,99.225,100.0
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.958,,,both,36.999,0.196,0.118,36.347,0.136,1.057,44.869,39.815,1777,180.57999999999998,100.0,100.0
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.964,,,both,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525,2060,151.95999999999998,99.42,100.0
