lsoa_code,PC1,PC2,quadrant
E01000055,2.253944853458926,2.3406564173450493,"Q1 (+PC1,+PC2)"
E01000063,2.954934370816106,2.0448466465870587,"Q1 (+PC1,+PC2)"
E01000078,3.7729999233430873,1.7456119878638587,"Q1 (+PC1,+PC2)"
E01034474,-0.4144851090575528,-3.354731990122158,"Q3 (-PC1,-PC2)"
E01000016,2.620186449942409,1.2692070912085476,"Q1 (+PC1,+PC2)"
E01000018,3.016250177689684,1.932460857030931,"Q1 (+PC1,+PC2)"
E01000044,1.531544146811432,0.9024231307420488,"Q1 (+PC1,+PC2)"
E01000049,3.430904448031856,0.17452635661062527,"Q1 (+PC1,+PC2)"
E01000066,0.9978576593943428,1.0509889793618972,"Q1 (+PC1,+PC2)"
E01000067,0.2598019117814339,0.9447026384713021,"Q1 (+PC1,+PC2)"
E01000101,4.444369425197204,0.9534789936648256,"Q1 (+PC1,+PC2)"
E01000108,1.2308769048182238,0.6976301850764816,"Q1 (+PC1,+PC2)"
E01000110,-0.5738168125621835,1.4186035952631848,"Q2 (-PC1,+PC2)"
E01000021,4.047990791749025,0.37993869628470306,"Q1 (+PC1,+PC2)"
E01000037,-0.044596943975919845,1.9433675950765665,"Q2 (-PC1,+PC2)"
E01000054,2.373510106420942,2.0087337154992526,"Q1 (+PC1,+PC2)"
E01000059,3.6737439428275263,1.993232089456872,"Q1 (+PC1,+PC2)"
E01034471,1.4938836334129233,-0.1735310616226456,"Q4 (+PC1,-PC2)"
E01000007,0.3302880770849025,-2.7990925749794053,"Q4 (+PC1,-PC2)"
E01000008,2.605884036118381,-0.42886199558654436,"Q4 (+PC1,-PC2)"
E01000057,2.9491693189067805,1.2932304326214985,"Q1 (+PC1,+PC2)"
E01000062,1.8715737464829811,1.5484115388471074,"Q1 (+PC1,+PC2)"
E01000064,3.706652397510918,0.681313229559958,"Q1 (+PC1,+PC2)"
E01000065,5.307929101206899,1.2570658458671122,"Q1 (+PC1,+PC2)"
E01000099,1.676113795727971,0.3157894960433459,"Q1 (+PC1,+PC2)"
E01000104,2.92954293704737,0.09065703742374619,"Q1 (+PC1,+PC2)"
E01000106,4.307720238408797,-0.510309529424943,"Q4 (+PC1,-PC2)"
E01000114,-0.04712011679732823,0.6468935744009223,"Q2 (-PC1,+PC2)"
E01000019,2.987800291413326,0.7203895928477898,"Q1 (+PC1,+PC2)"
E01000053,4.10055166491978,0.37817038449475443,"Q1 (+PC1,+PC2)"
E01000100,3.1070982079703087,1.7409056042701418,"Q1 (+PC1,+PC2)"
E01033587,0.26043164263721374,-3.6875627776622166,"Q4 (+PC1,-PC2)"
E01034479,2.614024195694473,-0.5577995313423837,"Q4 (+PC1,-PC2)"
