lsoa_code,PC1,PC2
E01000242,-1.0470856920331886,-0.06509282533943454
E01000277,-0.7345784042567591,-1.8599331188055717
E01000295,-3.7342710238017434,0.14139760496044326
E01000297,-2.213223328258846,1.3313501861927193
E01000299,-0.3364821041180358,-0.09145209571481559
E01000300,-3.4282708453803843,-0.31931198934458105
E01000304,-2.6706117244078587,0.002500130672203245
E01000317,-1.931620197827671,-0.9690680914433426
E01000319,-3.632879672147577,0.0015529602296050177
E01000130,3.3696903356961223,1.5270739223123981
E01000163,2.9169873012131666,-2.0745022840819103
E01000179,-4.842699250578051,-0.5461572294908432
E01000215,-0.5348277077900552,2.1794285662810644
E01000220,1.0509963123482104,0.8959966865259894
E01000269,-1.9518634488694027,-0.30625645449500055
E01000293,-3.4799228619552323,-1.2125237455849935
E01000120,-2.465798671663763,0.8324826730976445
E01000127,3.2142990307310244,2.886777592222601
E01000157,-2.572424050577977,-0.09001272617275867
E01000180,-0.5352014610988055,-2.0525210399156024
E01000225,-1.7657814800584377,1.700359046366486
E01000245,2.2089852051753835,1.0686037819270413
E01000286,2.6574600911611834,-0.826825378068914
E01000309,-1.4922470776306507,1.9012847610565728
E01000311,-3.4525315977852165,3.574658715393053
E01000314,-2.6558397719538327,2.4733744086575156
E01000321,-1.0946586421236262,-0.21177838782704103
E01000117,-0.757389233906415,-0.7621691026326309
E01000132,2.4462881454841225,3.4414786795651793
E01000144,-1.1727696183808478,0.4606239982801289
E01000153,4.679471340997344,-0.5370396952232676
E01000174,1.0210095929565848,-0.8549093693581482
E01000202,-4.1606190514976085,-0.040639813319412216
E01000265,-0.2326576273189814,0.35369324150898207
E01000320,-2.968592483386125,-0.5686935841292131
E01000324,-0.7510207613778332,-0.06798227974620166
E01033912,-4.9180691746928344,2.029776407920617
E01033914,2.3786062230819414,3.7452802936684777
E01000124,0.7846376731453873,-0.009186109877503137
E01000142,-0.3616640397097465,-0.2327433545950802
E01000150,-0.9689365125059866,2.225764946570071
E01000156,-3.623880125441038,0.6666020814622731
E01000162,2.5099151687062133,-2.621423644947004
