lsoa_code,region,lad_name,dpi_score,dpi_ci_upper,dpi_ci_lower
E01000444,London,Bexley,0.959,,
E01000445,London,Bexley,0.927,,
E01000446,London,Bexley,0.947,,
E01000447,London,Bexley,0.943,,
E01000448,London,Bexley,0.928,,
E01000449,London,Bexley,0.912,,
E01000450,London,Bexley,0.942,,
E01000451,London,Bexley,0.947,,
E01000452,London,Bexley,0.939,,
E01000453,London,Bexley,0.957,,
E01000454,London,Bexley,0.924,,
E01000455,London,Bexley,0.938,,
E01000456,London,Bexley,0.961,,
E01000457,London,Bexley,0.942,,
E01000458,London,Bexley,0.916,,
E01000459,London,Bexley,0.925,,
E01000460,London,Bexley,0.961,,
E01000461,London,Bexley,0.961,,
E01000462,London,Bexley,0.949,,
E01000463,London,Bexley,0.952,,
E01000464,London,Bexley,0.939,,
E01000465,London,Bexley,0.938,,
E01000466,London,Bexley,0.961,,
E01000467,London,Bexley,0.977,,
E01000468,London,Bexley,0.978,,
E01000469,London,Bexley,0.974,,
E01000470,London,Bexley,0.937,,
E01000471,London,Brent,0.965,,
E01000472,London,Brent,0.987,,
E01000473,London,Brent,0.981,,
E01000474,London,Brent,0.961,,
E01000475,London,Brent,0.976,,
E01000476,London,Brent,0.954,,
E01000477,London,Brent,0.956,,
E01000478,London,Brent,0.975,,
E01000479,London,Brent,0.968,,
E01000480,London,Brent,0.967,,
E01000481,London,Brent,0.963,,
E01000482,London,Brent,0.961,,
E01000483,London,Brent,0.974,,
E01000484,London,Brent,0.959,,
E01000485,London,Brent,0.957,,
E01000486,London,Brent,0.977,,
E01000487,London,Brent,0.953,,
E01000488,London,Brent,0.969,,
E01000489,London,Brent,0.94,,
E01000490,London,Brent,0.968,,
E01000491,London,Brent,0.969,,
E01000492,London,Brent,0.957,,
E01000493,London,Brent,0.963,,
E01000494,London,Brent,0.945,,
E01000495,London,Brent,0.93,,
E01000497,London,Brent,0.955,,
E01000498,London,Brent,0.947,,
E01000499,London,Brent,0.984,,
E01000501,London,Brent,0.953,,
E01000502,London,Brent,0.978,,
E01000503,London,Brent,0.949,,
E01000504,London,Brent,0.951,,
E01000505,London,Brent,0.962,,
E01000506,London,Brent,0.959,,
E01000507,London,Brent,0.968,,
E01000508,London,Brent,0.955,,
E01000509,London,Brent,0.952,,
E01000510,London,Brent,0.962,,
E01000511,London,Brent,0.971,,
E01000512,London,Brent,0.958,,
E01000513,London,Brent,0.966,,
E01000514,London,Brent,0.981,,
E01000515,London,Brent,0.945,,
E01000516,London,Brent,0.972,,
E01000517,London,Brent,0.96,,
E01000518,London,Brent,0.946,,
E01000519,London,Brent,0.958,,
E01000520,London,Brent,0.951,,
E01000521,London,Brent,0.952,,
E01000522,London,Brent,0.941,,
E01000523,London,Brent,0.956,,
E01000524,London,Brent,0.946,,
E01000525,London,Brent,0.951,,
E01000526,London,Brent,0.947,,
E01000527,London,Brent,0.939,,
E01000528,London,Brent,0.956,,
E01000530,London,Brent,0.968,,
E01000531,London,Brent,0.949,,
E01000532,London,Brent,0.937,,
E01000533,London,Brent,0.948,,
E01000534,London,Brent,0.95,,
E01000535,London,Brent,0.959,,
E01000536,London,Brent,0.977,,
E01000538,London,Brent,0.975,,
E01000539,London,Brent,0.96,,
E01000540,London,Brent,0.975,,
E01000541,London,Brent,0.956,,
E01000543,London,Brent,0.969,,
E01000544,London,Brent,0.969,,
E01000545,London,Brent,0.955,,
E01000546,London,Brent,0.953,,
E01000547,London,Brent,0.957,,
E01000548,London,Brent,0.961,,
E01000549,London,Brent,0.957,,
E01000550,London,Brent,0.949,,
E01000551,London,Brent,0.963,,
E01000552,London,Brent,0.956,,
E01000553,London,Brent,0.958,,
E01000554,London,Brent,0.964,,
E01000555,London,Brent,0.955,,
E01000556,London,Brent,0.963,,
E01000557,London,Brent,0.963,,
E01000558,London,Brent,0.964,,
E01000559,London,Brent,0.933,,
E01000560,London,Brent,0.958,,
E01000561,London,Brent,0.963,,
E01000562,London,Brent,0.963,,
E01000563,London,Brent,0.96,,
E01000564,London,Brent,0.973,,
E01000565,London,Brent,0.96,,
E01000566,London,Brent,0.97,,
E01000567,London,Brent,0.953,,
E01000568,London,Brent,0.979,,
E01000569,London,Brent,0.952,,
E01000570,London,Brent,0.96,,
E01000571,London,Brent,0.968,,
E01000572,London,Brent,0.96,,
E01000573,London,Brent,0.945,,
E01000574,London,Brent,0.976,,
E01000575,London,Brent,0.975,,
E01000576,London,Brent,0.98,,
E01000577,London,Brent,0.977,,
E01000578,London,Brent,0.964,,
E01000579,London,Brent,0.969,,
E01000580,London,Brent,0.957,,
E01000581,London,Brent,0.962,,
E01000582,London,Brent,0.962,,
E01000583,London,Brent,0.957,,
E01000584,London,Brent,0.963,,
E01000585,London,Brent,0.975,,
E01000586,London,Brent,0.964,,
E01000587,London,Brent,0.971,,
E01000588,London,Brent,0.982,,
E01000589,London,Brent,0.97,,
E01000590,London,Brent,0.955,,
E01000591,London,Brent,0.974,,
E01000592,London,Brent,0.965,,
E01000593,London,Brent,0.968,,
E01000594,London,Brent,0.968,,
E01000595,London,Brent,0.959,,
E01000596,London,Brent,0.942,,
E01000599,London,Brent,0.969,,
E01000600,London,Brent,0.969,,
E01000601,London,Brent,0.96,,
E01000602,London,Brent,0.944,,
E01000603,London,Brent,0.973,,
E01000604,London,Brent,0.944,,
E01000605,London,Brent,0.941,,
E01000606,London,Brent,0.956,,
E01000607,London,Brent,0.967,,
E01000608,London,Brent,0.976,,
E01000609,London,Brent,0.969,,
E01000610,London,Brent,0.968,,
E01000611,London,Brent,0.976,,
E01000612,London,Brent,0.952,,
E01000613,London,Brent,0.976,,
E01000615,London,Brent,0.972,,
E01000616,London,Brent,0.963,,
E01000617,London,Brent,0.943,,
E01000618,London,Brent,0.958,,
E01000619,London,Brent,0.962,,
E01000620,London,Brent,0.979,,
E01000621,London,Brent,0.965,,
E01000622,London,Brent,0.953,,
E01000623,London,Brent,0.962,,
E01000624,London,Brent,0.964,,
E01000625,London,Brent,0.953,,
E01000626,London,Brent,0.955,,
E01000627,London,Brent,0.966,,
E01000628,London,Brent,0.951,,
E01000629,London,Brent,0.966,,
E01000630,London,Brent,0.965,,
E01000631,London,Brent,0.969,,
E01000632,London,Brent,0.977,,
E01000633,London,Brent,0.978,,
E01000634,London,Brent,0.968,,
E01000635,London,Brent,0.985,,
E01000636,London,Brent,0.988,,
E01000637,London,Brent,0.949,,
E01000638,London,Brent,0.963,,
E01000639,London,Brent,0.977,,
E01000640,London,Brent,0.961,,
E01000641,London,Brent,0.944,,
E01000642,London,Brent,0.953,,
