lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p
E01001486,Enfield 025C,E02000301,Enfield 025,E09000010,Enfield,0.948,,,41.507,0.294,0.166,39.469,-0.213,0.315,51.379,23.449,2287,101.18571428571428,87.61428571428571,99.34285714285714,181.0,79.14298207258418,4.383812315304117
E01001512,Enfield 015D,E02000291,Enfield 015,E09000010,Enfield,0.967,,,18.403,0.12100000000000001,0.067,12.161,-0.845,-0.109,36.776,33.714,2136,121.76111111166666,90.53333333333335,99.36666666666667,282.0,132.02247191011236,4.890518075679497
E01001530,Enfield 032D,E02000308,Enfield 032,E09000010,Enfield,0.965,,,20.501,0.128,0.083,6.261,-0.834,0.451,38.093,32.933,1500,129.025,86.45,99.35,85.0,56.666666666666664,4.054679305829669
E01001537,Enfield 005E,E02000281,Enfield 005,E09000010,Enfield,0.955,,,11.559,0.095,0.046,7.82,-0.892,-0.552,31.419,18.635,1773,134.11999999999998,92.84,99.24,71.0,40.04512126339538,3.7146719801970196
E01001542,Enfield 008E,E02000284,Enfield 008,E09000010,Enfield,0.948,,,18.608,0.139,0.08200000000000002,15.05,-0.743,-0.54,36.019,22.402,1600,120.75999999999999,91.78,99.38,92.0,57.5,4.069026754237811
E01001547,Enfield 002C,E02000278,Enfield 002,E09000010,Enfield,0.963,,,29.152,0.194,0.115,29.038,-0.517,0.672,37.192,29.004,2030,134.56,93.66,98.36,184.0,90.64039408866995,4.517872157976201
E01001558,Enfield 033E,E02000309,Enfield 033,E09000010,Enfield,0.954,,,39.726,0.232,0.124,34.107,-0.177,1.219,44.352,48.817,1781,95.075,85.175,99.225,470.0,263.8966872543515,5.57933989055374
E01001408,Enfield 004A,E02000280,Enfield 004,E09000010,Enfield,0.95,,,16.678,0.108,0.071,8.292,-0.605,-0.194,24.5,43.992000000000004,1713,133.3166666666667,95.06666666666666,99.03333333333335,66.0,38.52889667250438,3.6770319657757464
E01001480,Enfield 024D,E02000300,Enfield 024,E09000010,Enfield,0.961,,,30.603,0.193,0.111,19.928,0.028,0.314,48.687,28.915,1625,124.25,92.675,99.5,112.0,68.92307692307692,4.247395736715942
E01001489,Enfield 023D,E02000299,Enfield 023,E09000010,Enfield,0.921,,,30.915,0.188,0.119,35.108,-0.37,0.541,41.297,30.269,1951,121.0,94.12,99.36,146.0,74.83341875961045,4.328539076222619
E01001493,Enfield 026B,E02000302,Enfield 026,E09000010,Enfield,0.943,,,29.242,0.178,0.138,22.335,-0.097,-0.38,47.992,20.675,1902,136.01666666666668,91.48333333333333,99.63333333333333,92.0,48.370136698212406,3.899345721118719
E01001494,Enfield 026C,E02000302,Enfield 026,E09000010,Enfield,0.954,,,15.473999999999998,0.116,0.059,13.77,-0.724,-0.37699999999999995,33.713,22.306,1525,161.0,98.125,99.425,69.0,45.24590163934426,3.833972846828685
E01001529,Enfield 032C,E02000308,Enfield 032,E09000010,Enfield,0.968,,,32.233,0.223,0.132,19.312,0.309,0.692,37.736,26.108,1771,120.1,79.0,98.3,130.0,73.40485601355167,4.309521208708468
E01001567,Enfield 022C,E02000298,Enfield 022,E09000010,Enfield,0.955,,,6.287,0.035,0.023,1.665,-1.28,-0.824,31.329999999999995,18.096,1634,185.54000000000002,95.84,98.88,39.0,23.867809057527538,3.2135741581376074
E01001565,Enfield 029D,E02000305,Enfield 029,E09000010,Enfield,0.966,,,16.271,0.119,0.068,4.062,-0.962,-0.053,38.057,23.691,1806,152.57999999999998,78.66,87.24,76.0,42.08194905869325,3.7631040940385168
E01001550,Enfield 006E,E02000282,Enfield 006,E09000010,Enfield,0.964,,,36.024,0.248,0.137,30.595,0.166,0.286,47.382,26.09,1680,126.55000000000001,93.95,97.575,109.0,64.88095238095238,4.187849361503558
E01001540,Enfield 008C,E02000284,Enfield 008,E09000010,Enfield,0.963,,,14.261000000000001,0.107,0.07,6.234,-0.599,-0.39,27.01,28.22,1807,134.98,80.97999999999999,98.06,123.0,68.06862202545656,4.235100532495855
E01001505,Enfield 012C,E02000288,Enfield 012,E09000010,Enfield,0.959,,,33.573,0.232,0.142,27.261,-0.138,0.435,41.388000000000005,30.167,1688,111.9125,94.675,98.875,131.0,77.60663507109004,4.364456111535082
E01001504,Enfield 012B,E02000288,Enfield 012,E09000010,Enfield,0.961,,,30.29,0.185,0.126,27.413,-0.296,0.5,39.512,34.119,1496,125.8,97.925,98.25,130.0,86.89839572192514,4.476181553351939
E01001502,Enfield 018D,E02000294,Enfield 018,E09000010,Enfield,0.964,,,31.213,0.202,0.112,31.282,-0.489,0.64,41.376,34.042,1895,125.17999999999999,90.03999999999999,97.22,218.0,115.03957783641161,4.753931321159818
E01001475,Enfield 013D,E02000289,Enfield 013,E09000010,Enfield,0.953,,,7.273,0.055,0.03799999999999999,5.801999999999999,-1.293,-0.886,25.74,19.599,1692,158.35999999999999,99.56,99.86,36.0,21.27659574468085,3.103536609160478
E01001461,Enfield 027D,E02000303,Enfield 027,E09000010,Enfield,0.93,,,40.049,0.289,0.175,37.059,-0.2,0.3449999999999999,45.055,26.113,1842,109.35999999999999,85.0,98.42,206.0,111.83496199782844,4.7259262378296345
E01001455,Enfield 021F,E02000297,Enfield 021,E09000010,Enfield,0.95,,,11.174,0.068,0.046,10.888,-0.868,-0.7110000000000001,35.268,16.589,1521,165.12,96.02000000000001,98.86,61.0,40.10519395134779,3.716134487029841
E01001441,Enfield 006B,E02000282,Enfield 006,E09000010,Enfield,0.964,,,37.103,0.239,0.143,30.436,-0.173,0.989,46.431,26.03,1654,126.94000000000001,92.82000000000001,99.7,190.0,114.87303506650544,4.752495066387381
E01001436,Enfield 007D,E02000283,Enfield 007,E09000010,Enfield,0.958,,,28.56,0.222,0.121,25.309,-0.427,0.325,34.326,27.423,1907,145.9,92.52000000000001,99.47999999999999,106.0,55.584687991609854,4.035738418425675
E01001423,Enfield 027A,E02000303,Enfield 027,E09000010,Enfield,0.958,,,31.815,0.208,0.122,28.503,-0.456,0.576,43.783,31.58,1990,122.84,82.66,99.47999999999999,129.0,64.82412060301507,4.186986345673157
E01001392,Enfield 032A,E02000308,Enfield 032,E09000010,Enfield,0.968,,,10.702,0.066,0.042,3.618,-1.404,-0.371,28.064,35.964,1929,143.21999999999997,94.42,98.96000000000001,70.0,36.28823224468636,3.618677787453917
E01001409,Enfield 005B,E02000281,Enfield 005,E09000010,Enfield,0.965,,,34.902,0.224,0.146,21.071,-0.266,0.433,48.848,34.934,1995,112.21666666666668,82.23333333333333,82.31666666666668,128.0,64.16040100250626,4.17685193783563
