lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse,pct_disabled,pct_limited_a_lot,pct_limited_a_little,pct_long_term_not_limited,pct_no_long_term_condition,risk_disability_limited,fuel_poverty_pct,risk_fuel_poverty,rDERI_score_0_10,rDERI_decile
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.95,,,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,1355,161.15,99.35,100.0,170.0,125.46125461254611,4.839935973604076,27.76752767527676,28.13653136531365,39.57564575645757,39.57564575645757,71.86346863468634,15.069444444444445,7.847222222222222,7.222222222222221,3.888888888888889,81.04166666666667,15.069444444444445,16.15,16.15,3.9669237668605257,6
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.974,,,28.968,0.156,0.092,25.246,-0.154,0.189,47.25399999999999,40.955,1879,155.8,100.0,100.0,125.0,66.52474720596062,4.212494155961351,23.575331772053083,32.08430913348946,34.81654957064793,34.81654957064793,67.91569086651054,9.35960591133005,4.652435686918445,4.707170224411604,4.324028461959497,86.31636562671045,9.35960591133005,16.31,16.31,3.7216550985189145,6
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.949,,,38.009,0.223,0.131,32.926,0.8079999999999999,0.468,47.096,28.566,1815,111.28,91.34,99.78,129.0,71.07438016528926,4.277698643630244,27.058823529411764,27.54325259515571,37.923875432525946,37.923875432525946,72.4567474048443,14.95085359544749,7.656492498706674,7.2943610967408175,4.655975168132437,80.39317123642007,14.95085359544749,16.33,16.33,5.814632853423642,10
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.966,,,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,1703,123.64,94.56,100.0,111.0,65.17909571344687,4.192364638354281,18.99148657498363,34.83955468238376,28.945645055664706,28.945645055664706,65.16044531761624,10.71607411116675,4.456685027541312,6.259389083625439,3.755633450175263,85.52829243865799,10.71607411116675,15.78,15.78,3.462956598129808,5
E01034470,Barking and Dagenham 004G,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.967,,,25.691,0.12,0.084,22.485,-0.199,0.8909999999999999,39.755,34.149,1871,168.31,96.1,96.2,70.0,37.41314804917156,3.648399798103009,23.24521422060164,33.54603463992707,34.275296262534184,34.275296262534184,66.45396536007293,11.60773849232822,4.869913275517011,6.737825216811208,4.0026684456304205,84.38959306204136,11.60773849232822,15.07,15.07,3.698025183153547,5
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.985,,,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,2023,86.63,33.68,99.78,186.0,91.94265941670784,4.531982737586893,19.63151207115629,39.13595933926303,29.860228716645487,29.860228716645487,60.864040660736975,10.694503621644651,4.431188751597785,6.263314870046869,2.556455048998722,86.74904132935663,10.694503621644651,8.6,8.6,3.682438407873061,5
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.957,,,39.004,0.25,0.169,22.899,0.6939999999999998,0.317,45.929,27.688,1516,168.42000000000002,100.0,100.0,98.0,64.64379947229551,4.184243148036887,25.15290519877676,29.74006116207952,37.53822629969419,37.53822629969419,70.25993883792049,16.22247972190035,7.995365005793744,8.227114716106605,4.8088064889918885,78.96871378910775,16.22247972190035,16.08,16.08,4.846339616312016,9
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.96,,,29.339,0.155,0.1,29.298,0.263,0.2439999999999999,45.704,29.869,1535,153.05,97.75,100.0,99.0,64.49511400651465,4.18197554453845,23.745519713261647,30.0179211469534,35.93189964157706,35.93189964157706,69.9820788530466,14.487870619946092,7.479784366576819,7.008086253369273,4.043126684636119,81.46900269541779,14.487870619946092,16.9,16.9,3.782368464648239,6
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.94,,,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,1446,158.86,99.24,100.0,124.0,85.75380359612724,4.463074263354281,23.268482490272373,28.871595330739297,34.70817120622568,34.70817120622568,71.1284046692607,13.923267326732674,6.25,7.673267326732673,4.888613861386139,81.1881188118812,13.923267326732674,10.84,10.84,3.981922440322487,7
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.946,,,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,1711,138.92000000000002,97.98,100.0,137.0,80.07013442431327,4.395314637124716,30.68745570517364,28.70304748405386,40.39688164422395,40.39688164422395,71.29695251594615,12.613092070250136,6.386375731772219,6.226716338477914,2.607770090473656,84.7791378392762,12.613092070250136,14.63,14.63,4.531505883521027,8
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.962,,,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127,1755,158.1,99.84,100.0,80.0,45.58404558404558,3.84125811306872,25.39797395079595,31.25904486251809,35.89001447178003,35.89001447178003,68.7409551374819,12.59500542888165,5.157437567861021,7.43756786102063,3.420195439739414,83.98479913137894,12.59500542888165,16.13,16.13,4.171709395727172,7
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.953,,,28.075,0.147,0.085,28.946000000000005,0.044,0.574,42.921,33.853,1516,136.525,78.175,89.75,81.0,53.43007915567282,3.9969169267105817,23.9344262295082,33.114754098360656,34.34426229508197,34.34426229508197,66.88524590163934,13.337670787247886,6.506180871828236,6.831489915419649,3.6434612882238127,83.01886792452831,13.337670787247886,15.4,15.4,4.127575927371359,7
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.944,0.941,0.947,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,1933,119.56,81.28,100.0,107.0,55.3543714433523,4.031659814111342,21.08345534407028,37.62811127379209,30.30746705710102,30.30746705710102,62.37188872620791,11.943539630836048,5.700325732899023,6.243213897937025,4.125950054288817,83.93051031487514,11.943539630836048,15.33,15.33,4.504410184202213,8
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.978,,,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,2022,135.01666666666668,86.38333333333333,86.38333333333333,108.0,53.41246290801187,3.996593225196803,22.844556324732537,31.780994336060413,35.053492762743865,35.053492762743865,68.21900566393958,14.192037470725996,6.4637002341920375,7.728337236533958,4.309133489461359,81.49882903981265,14.192037470725996,15.16,15.16,4.071014668972776,7
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.959,,,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,2047,167.35,99.38333333333333,100.0,108.0,52.76013678553981,3.9845322405855375,30.79754601226994,28.098159509202453,40.920245398773005,40.920245398773005,71.90184049079755,16.442797591477536,8.151922186197314,8.290875405280222,3.937007874015748,79.62019453450672,16.442797591477536,16.28,16.28,4.374582339596775,8
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.956,,,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,1831,157.28,99.4,100.0,72.0,39.32277444019661,3.6969164319165273,22.059800664451828,29.43521594684385,34.48504983388705,34.48504983388705,70.56478405315615,12.904858299595142,5.161943319838056,7.742914979757084,3.8461538461538463,83.24898785425101,12.904858299595142,14.81,14.81,4.103078227260313,7
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.945,,,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,1953,159.48000000000002,93.38,100.0,120.0,61.443932411674346,4.134269072710809,24.444444444444443,29.72222222222222,32.84722222222222,32.84722222222222,70.27777777777777,14.853556485355648,6.903765690376569,7.949790794979079,3.608786610878661,81.5376569037657,14.853556485355648,14.1,14.1,4.103984473265905,7
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.953,0.951,0.955,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,1829,149.54000000000002,93.18,100.0,136.0,74.35757244395845,4.322244416956781,26.10797743755036,28.60596293311845,37.711522965350525,37.711522965350525,71.39403706688155,14.277035236938032,6.500607533414337,7.776427703523693,2.8554070473876063,82.86755771567437,14.277035236938032,16.67,16.67,4.255498097421532,7
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.957,,,38.156,0.2179999999999999,0.142,28.503,0.8900000000000001,0.868,42.757,26.281,1383,168.05,99.6,99.8,88.0,63.629790310918295,4.1686754548152365,25.0,28.66300366300366,36.81318681318682,36.81318681318682,71.33699633699634,15.644383184011026,6.616126809097174,9.028256374913852,4.272915230875259,80.08270158511371,15.644383184011026,15.73,15.73,4.298960926406607,8
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.958,,,36.702,0.219,0.138,25.691000000000003,0.395,0.837,47.02900000000001,28.042,1637,165.12,100.0,100.0,83.0,50.70250458155162,3.945506224858425,28.13793103448276,31.03448275862069,37.24137931034483,37.24137931034483,68.9655172413793,13.90625,5.989583333333334,7.916666666666666,3.854166666666667,82.23958333333333,13.90625,13.73,13.73,4.240450900206029,7
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.936,,,40.078,0.26,0.155,27.699,1.138,-0.1109999999999999,48.625,16.282,1629,129.86,86.28,100.0,111.0,68.13996316758748,4.236132901771143,24.29837518463811,32.64401772525849,34.26883308714919,34.26883308714919,67.3559822747415,15.096418732782368,8.484848484848486,6.6115702479338845,2.865013774104684,82.03856749311295,15.096418732782368,11.74,11.74,5.124822081213093,9
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.942,,,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,1520,153.5,99.825,100.0,92.0,60.526315789473685,4.119464982305628,27.982062780269057,26.547085201793724,38.83408071748879,38.83408071748879,73.45291479820628,17.174335709656514,8.101101749837978,9.073233959818536,4.73104342190538,78.0946208684381,17.174335709656514,14.93,14.93,4.499115932008989,8
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.955,0.953,0.958,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,1986,110.16,85.42,100.0,133.0,66.96878147029204,4.219048503734144,22.81626506024097,32.98192771084337,33.28313253012048,33.28313253012048,67.01807228915663,15.037194473963869,6.482465462274177,8.554729011689693,2.763018065887354,82.19978746014877,15.037194473963869,13.1,13.1,3.9384497975205672,6
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.964,,,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,2134,112.53333333333336,96.2,100.0,159.0,74.50796626054358,4.324238164073517,25.484439224897244,33.587786259541986,35.34938344098649,35.34938344098649,66.41221374045801,11.734909244406923,5.23427606585057,6.500633178556353,3.334740396791895,84.93035035880118,11.734909244406923,16.84,16.84,4.721469816852406,9
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.965,,,30.898,0.211,0.114,27.143,0.126,0.047,43.185,29.369,1684,207.22,100.0,100.0,96.0,57.00712589073635,4.060565863184834,23.400936037441497,28.23712948517941,35.33541341653666,35.33541341653666,71.76287051482059,14.428152492668625,6.510263929618769,7.917888563049853,4.750733137829912,80.82111436950147,14.428152492668625,16.19,16.19,3.51776443895947,5
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.951,,,33.371,0.181,0.124,37.624,0.286,0.342,41.886,35.452,1793,165.64,100.0,100.0,85.0,47.40658114891244,3.879635778630023,22.31404958677686,29.75206611570248,32.90758827948911,32.90758827948911,70.24793388429752,14.623172103487065,6.467941507311586,8.155230596175478,4.499437570303712,80.87739032620922,14.623172103487065,14.9,14.9,4.019265726939717,7
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.954,,,35.033,0.228,0.128,33.668,0.035,0.467,44.311,33.091,1826,161.3,94.46,98.22,106.0,58.050383351588174,4.078391034605163,27.111111111111114,28.22222222222222,38.81481481481481,38.81481481481481,71.77777777777777,15.753424657534246,8.008429926238145,7.744994731296101,3.951527924130664,80.29504741833509,15.753424657534246,16.0,16.0,4.210942079455059,7
E01034474,Barking and Dagenham 015F,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.989,,,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.93200000000001,3195,112.7375,84.7625,94.375,608.0,190.29733959311423,5.253828969361079,13.498789346246973,52.78450363196126,21.246973365617432,21.246973365617432,47.21549636803874,7.504440497335701,3.374777975133215,4.129662522202486,3.9076376554174073,88.58792184724689,7.504440497335701,6.26,6.26,3.6793183258027327,5
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.951,,,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,1750,136.94,99.48,99.82,72.0,41.14285714285714,3.7410652072845054,22.317596566523605,31.18741058655221,32.1173104434907,32.1173104434907,68.81258941344778,12.263641274986494,5.9967585089141,6.266882766072393,2.8092922744462454,84.92706645056725,12.263641274986494,15.4,15.4,4.360413688569056,8
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.95,,,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,1791,166.21999999999997,99.86,99.86,70.0,39.08431044109436,3.690984996929448,24.81536189069424,31.166912850812405,36.70605612998523,36.70605612998523,68.83308714918759,13.963963963963964,7.31981981981982,6.644144144144144,4.448198198198198,81.58783783783784,13.963963963963964,16.5,16.5,4.171379753321109,7
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.958,,,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,1895,129.84,95.46,100.0,107.0,56.46437994722955,4.051165276668183,22.28116710875332,34.41644562334217,33.48806366047745,33.48806366047745,65.58355437665783,12.525150905432596,6.237424547283702,6.287726358148893,2.8169014084507045,84.6579476861167,12.525150905432596,17.48,17.48,3.681157004995752,5
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.961,0.959,0.962,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588,1923,114.08,98.84,99.56,117.0,60.84243369734789,4.124589758248448,21.06430155210643,33.11160384331116,34.29416112342942,34.29416112342942,66.88839615668884,12.018255578093306,4.411764705882353,7.606490872210954,2.18052738336714,85.80121703853956,12.018255578093306,14.92,14.92,4.3610278153482245,8
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.962,,,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916,2132,139.86,99.28,100.0,137.0,64.25891181988743,4.178362616491789,21.711899791231733,29.90605427974948,30.167014613778704,30.167014613778704,70.09394572025053,11.653984781738083,4.765718862635162,6.888265919102923,2.122547056467761,86.22346816179414,11.653984781738083,12.43,12.43,3.848607967306403,6
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.974,,,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711,2149,144.64,99.84,100.0,114.0,53.04792926942764,3.989871231962375,19.462686567164177,34.44776119402985,29.73134328358209,29.73134328358209,65.55223880597015,12.561466249441215,5.140813589628968,7.420652659812249,3.710326329906125,83.72820742065265,12.561466249441215,12.87,12.87,3.812072843256038,6
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.954,,,40.463,0.254,0.154,28.988,0.464,0.8320000000000001,43.29,37.223,1545,141.28000000000003,94.26,100.0,117.0,75.72815533980582,4.340268724975339,26.66151468315301,28.129829984544045,36.39876352395672,36.39876352395672,71.87017001545595,15.439010017678257,7.248084855627577,8.190925162050677,4.773129051266942,79.7878609310548,15.439010017678257,14.4,14.4,4.794905116947892,9
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.956,,,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136,1750,140.84,96.2,100.0,153.0,87.42857142857143,4.482195123629283,24.15966386554621,31.512605042016805,35.294117647058826,35.294117647058826,68.4873949579832,11.54046997389034,5.169712793733681,6.370757180156658,3.864229765013055,84.59530026109661,11.54046997389034,10.15,10.15,3.509159630989364,5
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.954,,,17.741,0.1119999999999999,0.078,12.848,-0.002,-0.312,32.872,20.544,1491,144.825,97.45,100.0,73.0,48.96042924211938,3.911231276936229,20.097244732576986,35.49432739059968,28.93030794165316,28.93030794165316,64.50567260940032,10.65989847715736,4.314720812182741,6.345177664974619,4.568527918781726,84.77157360406092,10.65989847715736,12.37,12.37,3.4035055591767134,4
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.941,,,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214000000000006,1682,117.66,84.22,97.84,163.0,96.90844233055886,4.584032780042807,23.88663967611336,29.79757085020244,35.06072874493928,35.06072874493928,70.20242914979757,14.294152392203188,7.914943886591849,6.379208505611341,4.134672179562906,81.5711754282339,14.294152392203188,15.46,15.46,4.389411444593525,8
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.938,,,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,1931,148.6,99.62,100.0,99.0,51.26877265665458,3.956399111612239,20.78291814946619,29.964412811387906,34.021352313167256,34.021352313167256,70.0355871886121,12.32311320754717,4.893867924528302,7.429245283018868,4.481132075471698,83.19575471698113,12.32311320754717,8.7,8.7,3.528310055895961,5
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.939,,,29.788,0.18,0.096,26.697,0.198,0.514,42.507,31.481,1831,161.7,99.72,100.0,87.0,47.51501911523758,3.881873422483937,24.049707602339183,31.72514619883041,35.38011695906433,35.38011695906433,68.27485380116958,13.575628006413682,6.520577231427044,7.055050774986638,4.596472474612507,81.82789951897381,13.575628006413682,16.02,16.02,3.9335229134340537,6
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.945,,,32.331,0.176,0.129,28.14,0.136,0.414,45.241,32.699,1635,153.1,98.1,100.0,97.0,59.32721712538226,4.099783363846616,25.71428571428571,27.413127413127413,36.21621621621622,36.21621621621622,72.58687258687259,16.95906432748538,8.362573099415204,8.596491228070176,3.8011695906432745,79.23976608187134,16.95906432748538,14.51,14.51,4.590850950896947,8
E01034471,Barking and Dagenham 008G,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.956,0.954,0.958,36.877,0.228,0.108,22.994,0.033,1.286,45.846,39.968,2791,159.7844444333333,91.26666666666668,100.0,172.0,61.62665711214618,4.13719101992754,18.11479726171669,36.65086887835703,27.64612954186414,27.64612954186414,63.34913112164297,10.569408262002234,5.024190547078526,5.545217714923707,2.791216970599181,86.63937476739858,10.569408262002234,8.83,8.83,3.477266415826705,5
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.972,0.97,0.973,31.576000000000004,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,2101,116.41,70.85000000000001,98.75,577.0,274.6311280342694,5.619063479184865,16.81333950903196,48.49467345993516,24.08522464103752,24.08522464103752,51.50532654006484,9.281540048126503,4.022000687521484,5.259539360605019,3.231350979718116,87.48710897215538,9.281540048126503,5.85,5.85,2.878353404805308,2
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.96,,,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233000000000004,1566,104.425,97.125,97.45,171.0,109.19540229885058,4.702255174422413,20.87649402390438,31.95219123505976,30.996015936254977,30.996015936254977,68.04780876494024,11.859688195991092,4.398663697104677,7.461024498886415,3.619153674832962,84.52115812917594,11.859688195991092,10.77,10.77,3.487155380335771,5
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.953,,,32.887,0.196,0.118,31.462000000000003,0.097,0.644,43.725,30.046,1557,156.7,99.525,100.0,169.0,108.54206807964032,4.696308658852729,24.673060156931125,31.29904097646033,36.44289450741064,36.44289450741064,68.70095902353967,13.815364751452549,5.810200129115558,8.005164622336991,3.808908973531311,82.37572627501613,13.815364751452549,16.11,16.11,3.8933930135284,6
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.954,,,26.669,0.143,0.088,30.73,-0.143,0.558,45.088,20.153,2228,176.23333333333335,99.86666666666667,100.0,206.0,92.45960502693,4.537529311144476,22.294887039239,33.353151010701545,32.6397146254459,32.6397146254459,66.64684898929846,13.486693730266126,6.134415877311683,7.352277852954443,3.969327920613441,82.54397834912042,13.486693730266126,14.56,14.56,3.9982072272163816,7
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.955,,,35.283,0.208,0.13,24.438,0.39,0.212,50.054,34.175,2107,134.68,91.9,97.7,164.0,77.83578547698148,4.36736702419637,25.158684362377382,33.698788228505485,34.85285631852279,34.85285631852279,66.30121177149451,16.289198606271775,8.405923344947736,7.883275261324043,3.092334494773519,80.6184668989547,16.289198606271775,12.59,12.59,4.840706599732637,9
