lsoa_code,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse
E01000638,24.60890493381468,32.49097472924188,35.98074608904934,35.98074608904934,67.50902527075812
E01000639,19.469644103279833,48.499651081646896,26.65736217725052,26.65736217725052,51.500348918353104
E01000640,31.502890173410403,30.520231213872833,40.63583815028902,40.63583815028902,69.47976878612717
E01000641,23.087159015302728,35.12974051896208,33.13373253493014,33.13373253493014,64.87025948103792
E01000642,17.391304347826086,44.51345755693582,24.58592132505176,24.58592132505176,55.48654244306418
E01000643,21.311475409836063,35.5568117580554,30.58224985867722,30.58224985867722,64.4431882419446
E01000644,18.97946484131923,43.93279402613566,28.313627878033603,28.313627878033603,56.06720597386434
E01000645,8.0,55.74468085106383,13.276595744680849,13.276595744680849,44.25531914893617
E01000646,10.1889338731444,48.178137651821864,16.666666666666664,16.666666666666664,51.821862348178136
E01000647,11.204268292682928,44.4359756097561,20.121951219512198,20.121951219512198,55.5640243902439
E01000648,9.767441860465116,47.308970099667775,16.345514950166113,16.345514950166113,52.691029900332225
E01000649,10.200364298724955,53.066180935033394,16.757741347905284,16.757741347905284,46.933819064966606
E01000650,11.343686698176908,52.86968264686023,17.960837272113437,17.960837272113437,47.13031735313977
E01000651,13.371675053918045,44.716031631919485,21.782890007189074,21.782890007189074,55.283968368080515
E01000652,13.414634146341465,43.0416068866571,21.87948350071736,21.87948350071736,56.9583931133429
E01000653,11.746031746031745,51.66666666666667,17.77777777777778,17.77777777777778,48.33333333333333
E01000654,13.82667964946446,27.166504381694256,24.44011684518014,24.44011684518014,72.83349561830575
E01000655,14.650283553875237,26.84310018903592,26.748582230623818,26.748582230623818,73.15689981096408
E01000656,16.359262229350442,28.708901363271856,28.708901363271856,28.708901363271856,71.29109863672815
E01000657,17.441860465116278,24.418604651162788,29.37984496124031,29.37984496124031,75.58139534883722
E01000658,19.846678023850085,25.298126064735943,31.85689948892675,31.85689948892675,74.70187393526406
E01000659,13.929492691315563,26.913155631986243,24.333619948409286,24.333619948409286,73.08684436801376
E01000661,21.323179438362686,37.17277486910995,30.89005235602094,30.89005235602094,62.82722513089005
E01000662,16.76096181046676,34.2998585572843,26.308345120226306,26.308345120226306,65.7001414427157
E01000663,19.543726235741445,31.711026615969583,30.038022813688215,30.038022813688215,68.28897338403041
E01000664,17.561349693251536,34.43251533742331,26.45705521472393,26.45705521472393,65.56748466257669
E01000665,14.551495016611296,32.89036544850498,24.51827242524917,24.51827242524917,67.10963455149502
E01000666,13.784615384615384,36.246153846153845,23.200000000000003,23.200000000000003,63.753846153846155
E01000667,13.472622478386167,35.30259365994236,23.703170028818445,23.703170028818445,64.69740634005764
E01000668,12.074829931972788,46.42857142857143,20.351473922902493,20.351473922902493,53.57142857142857
E01000669,11.319394376351838,43.47512617159337,20.331651045421772,20.331651045421772,56.52487382840663
E01000670,7.289719626168225,59.19003115264797,14.26791277258567,14.26791277258567,40.80996884735203
E01000671,10.694597574421168,49.06284454244763,18.02646085997795,18.02646085997795,50.93715545755237
E01000672,11.955719557195572,48.33948339483395,19.92619926199262,19.92619926199262,51.66051660516605
E01000673,7.120743034055728,51.93498452012384,15.944272445820435,15.944272445820435,48.06501547987616
E01000674,12.889210716871832,49.8189717595945,19.47863866763215,19.47863866763215,50.1810282404055
E01000676,12.247324613555291,50.83234244946492,18.489892984542212,18.489892984542212,49.16765755053508
E01000677,9.387755102040817,52.721088435374156,15.306122448979592,15.306122448979592,47.278911564625844
E01000678,9.347079037800688,51.68384879725087,16.288659793814432,16.288659793814432,48.31615120274913
E01000679,12.008733624454148,44.614264919941775,20.596797671033478,20.596797671033478,55.385735080058225
E01000680,13.328581610833929,39.70064148253742,21.66785459729152,21.66785459729152,60.29935851746258
E01000681,9.791216702663787,40.748740100791935,19.366450683945285,19.366450683945285,59.251259899208065
E01000682,15.5984555984556,40.231660231660236,23.706563706563706,23.706563706563706,59.768339768339764
E01000683,14.933135215453195,40.11887072808321,24.51708766716196,24.51708766716196,59.88112927191679
E01000684,9.609423434593925,48.41909485430874,17.54494730316181,17.54494730316181,51.58090514569126
E01000685,15.258215962441316,37.32394366197183,24.647887323943664,24.647887323943664,62.67605633802817
E01000686,14.321608040201006,40.53601340033501,22.8643216080402,22.8643216080402,59.46398659966499
E01000687,15.030674846625766,39.263803680981596,24.233128834355828,24.233128834355828,60.736196319018404
E01000688,11.885612153708669,46.29133154602324,18.498659517426276,18.498659517426276,53.70866845397676
E01000689,19.06677393403057,33.1456154465004,29.042638777152053,29.042638777152053,66.8543845534996
E01000690,10.930442637759711,44.80578139114724,19.421860885275517,19.421860885275517,55.19421860885276
E01000691,18.448979591836732,37.95918367346939,27.10204081632653,27.10204081632653,62.04081632653061
E01000692,12.5,41.590909090909086,20.454545454545457,20.454545454545457,58.409090909090914
E01000693,17.76923076923077,41.38461538461539,25.615384615384617,25.615384615384617,58.61538461538461
E01000694,11.742006615214995,52.039691289966925,19.073869900771776,19.073869900771776,47.960308710033075
E01000695,11.816720257234726,49.356913183279744,18.890675241157556,18.890675241157556,50.643086816720256
E01000696,12.17008797653959,48.60703812316716,18.475073313782993,18.475073313782993,51.39296187683284
E01000697,7.967032967032966,56.86813186813187,12.293956043956044,12.293956043956044,43.13186813186813
E01000698,11.566018423746161,45.445240532241556,21.392016376663257,21.392016376663257,54.554759467758444
E01000699,11.83533447684391,48.88507718696398,21.012006861063465,21.012006861063465,51.11492281303602
E01000700,13.121434392828036,48.08475957620212,20.45639771801141,20.45639771801141,51.91524042379788
E01000701,10.148731408573928,53.89326334208224,17.14785651793526,17.14785651793526,46.10673665791776
E01000702,8.49056603773585,54.45969125214408,16.895368782161235,16.895368782161235,45.54030874785592
E01000703,8.968609865470851,58.14648729446936,14.349775784753364,14.349775784753364,41.85351270553064
E01000704,13.220338983050848,44.06779661016949,20.508474576271183,20.508474576271183,55.93220338983051
E01000705,11.010009099181074,49.31756141947225,18.926296633303004,18.926296633303004,50.68243858052775
E01000706,15.718157181571815,41.734417344173444,26.377597109304425,26.377597109304425,58.265582655826556
E01000707,8.446866485013624,60.03633060853769,14.350590372388739,14.350590372388739,39.96366939146231
E01000708,11.489040060468632,48.45049130763417,19.954648526077097,19.954648526077097,51.54950869236583
E01000709,13.157894736842104,51.69779286926995,21.64685908319185,21.64685908319185,48.30220713073005
E01000710,6.827309236947792,60.14056224899599,12.801204819277109,12.801204819277109,39.85943775100401
E01000711,12.002487562189055,54.47761194029851,18.59452736318408,18.59452736318408,45.52238805970149
E01000712,9.322033898305085,55.28031290743155,15.840938722294654,15.840938722294654,44.71968709256845
