lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01031159,20.463,0.092,0.073,13.075,-0.276,0.496,43.67400000000001,24.203999999999997,1713
E01031160,15.448,0.053,0.052,7.289,-0.638,-0.242,48.654,24.845,2123
E01031161,9.853,0.061,0.059,12.581,-0.107,-0.256,17.252,8.356,2076
E01031162,10.566,0.084,0.066,11.312,-0.55,-0.7239999999999999,22.388999999999996,8.498,1830
E01031163,24.156,0.161,0.133,19.213,0.429,0.498,20.91,8.641,1617
E01031165,28.089,0.16299999999999998,0.10600000000000001,34.637,0.042,0.112,43.786,18.396,1639
E01031166,11.323,0.03,0.027,2.024,-1.298,-0.982,50.02,23.539,1953
E01031167,17.055,0.083,0.081,17.711,-0.275,1.018,8.112,23.97,1423
E01031168,18.543,0.11200000000000002,0.07,37.951,-0.199,0.296,21.381,14.423,2999
E01031169,17.642,0.097,0.066,24.425,-0.605,0.418,17.828,38.403,2022
E01031170,25.864,0.16399999999999998,0.11,24.28,0.589,0.632,15.016,29.258000000000003,1684
E01031171,18.779,0.116,0.08899999999999998,21.819000000000003,0.015,0.217,20.318,22.526,1556
E01031172,27.819,0.171,0.13,42.018,0.427,0.43299999999999994,22.729,9.574,1696
E01031173,33.402,0.217,0.162,33.305,0.853,0.404,22.626,20.09,2069
E01031174,31.047,0.174,0.143,28.726,0.956,0.425,18.951,32.692,1900
E01031175,4.844,0.023999999999999997,0.036,2.307,-0.34,-1.172,23.599,5.835,1427
E01031176,27.804,0.17599999999999996,0.128,43.209,0.345,0.539,20.236,11.323,1494
E01031177,30.614,0.19,0.133,45.962,0.397,0.7139999999999999,25.076,9.467,1479
E01031178,17.347,0.122,0.10100000000000002,14.3,-0.05399999999999999,-0.22199999999999998,20.485,18.349,1413
E01031179,4.611000000000001,0.025,0.03,6.555,-1.275,-0.584,17.352,18.523,1901
E01031180,7.894999999999999,0.054,0.059,12.282,-1.045,-0.313,13.476,13.527,2120
E01031181,12.234,0.098,0.058,9.953,-0.254,-0.014,21.226,13.141,1857
E01031182,9.402,0.036,0.02,7.155999999999999,-1.238,-0.618,35.275,30.353,2506
E01031183,7.2,0.055,0.052,5.577999999999999,-0.789,-0.717,18.151,17.349,1637
E01031184,7.013,0.047,0.028,3.9030000000000005,-0.9929999999999999,-0.602,28.243,18.469,1509
E01031185,22.791,0.156,0.126,40.93,0.084,-0.54,18.059,7.906000000000001,1348
E01031186,21.027,0.162,0.11800000000000001,26.99,-0.09400000000000001,-0.159,16.983,13.657000000000002,1522
E01031187,14.926,0.069,0.048,2.682,-0.889,-0.278,40.268,40.452,1954
E01031188,12.833,0.042,0.039,4.95,-1.074,0.12199999999999998,41.591,30.874,2357
E01031189,16.418,0.09,0.064,12.767999999999999,-0.10300000000000001,-0.669,27.592,39.739,1474
E01031190,20.331,0.131,0.091,29.323,-0.07199999999999998,-0.185,27.86,16.579,1887
E01031191,8.094,0.051,0.05,3.772,-0.5919999999999999,-1.121,28.015,14.975,1797
E01031192,9.411,0.063,0.051,6.2170000000000005,-0.884,-0.127,18.458,27.579,1951
E01031193,14.325,0.042,0.028,5.747,-1.19,-0.695,43.719,48.707,2145
E01031194,15.695,0.048,0.034,4.453,-1.204,-1.238,46.807,52.23599999999999,2555
E01031195,10.061,0.055,0.039,3.9089999999999994,-1.068,-0.481,36.713,21.384,2180
E01031196,9.115,0.034,0.025,2.987,-1.388,-1.213,38.394,30.583999999999996,2429
E01031197,10.316,0.034,0.025999999999999995,3.086,-1.134,-1.182,44.333,26.984,1310
E01031198,13.734999999999998,0.055,0.049,7.569,-0.352,-0.348,27.325000000000003,46.477,1302
E01031199,17.224,0.08500000000000002,0.078,14.554,-0.789,0.21799999999999997,31.737,31.96,1585
E01031200,5.971,0.04,0.047,10.614,-0.644,-0.8499999999999999,6.301,18.235,1539
E01031201,1.136,0.021,0.021,1.335,-1.563,-1.2,5.398,8.118,1511
E01031202,5.158,0.042,0.037,4.559,-0.735,-0.20000000000000004,10.336,14.769,1651
E01031203,21.638,0.146,0.099,19.128,0.225,0.325,24.179,18.934,1548
E01031204,11.793,0.048,0.038,9.916,-0.45699999999999996,-0.275,29.758999999999997,35.402,1324
E01031205,10.299,0.035,0.041999999999999996,2.8,-0.897,-0.455,24.967,46.222,1579
E01031206,14.032000000000002,0.097,0.074,8.985,-0.316,-0.713,24.123999999999995,27.503,1416
E01031207,15.897,0.112,0.071,11.205,-0.099,-2.015,28.222,29.287,1251
E01031208,11.904,0.062,0.055,3.186,-0.426,-0.73,32.123,30.351,2142
