lsoa_code,rDERI_overall_z,rDERI_score_0_10,rDERI_decile
E01000066,-0.16120780046198457,3.848607967306403,6
E01000067,-0.17291868453857503,3.812072843256038,6
E01000068,-0.13689687770130202,3.9244521625893065,6
E01000069,-0.30898898240213923,3.38756644566024,4
E01000070,-0.35820888815727425,3.23401225190763,4
E01000071,-0.08862353794857082,4.075053299502355,7
E01000072,0.22377135494108388,5.049649759494543,9
E01000073,-0.07559098972614176,4.115711695818531,7
E01000074,-0.15313471104107274,3.8737940524502474,6
E01000075,0.0030236424974473173,4.360970322039929,8
E01000076,0.007386807090428493,4.374582339596775,8
E01000077,0.08703619739657531,4.623069160603564,9
E01000078,-0.04506606303370103,4.210942079455059,7
E01000079,0.09653059983068286,4.652689398362352,9
E01000080,-0.1576394762788832,3.8597402751517285,6
E01000081,-0.07964049248865013,4.103078227260313,7
E01000082,-0.07935000649216813,4.103984473265905,7
E01000083,-0.006748875035557776,4.330482432482008,8
E01000084,-0.12328312799892192,3.9669237668605257,6
E01000085,-0.03078418019130143,4.2554980974215315,7
E01000086,-0.016852705614036106,4.298960926406607,8
E01000087,-0.22167085315428206,3.6599778761766837,5
E01000088,-0.12994101571126068,3.946152768540259,6
E01000089,-0.2019009791004743,3.7216550985189145,6
E01000090,-0.23587940084440598,3.6156506461367344,5
E01000091,0.011426711874677179,4.387185864785725,8
E01000093,0.034567645676298525,4.459379977677129,8
E01000094,-0.5527992272636978,2.626937488656658,2
E01000095,-0.34016650821837907,3.2903001106995236,4
E01000096,-0.18647078197792002,3.769793579124405,6
E01000097,0.46897726477200224,5.814632853423642,10
E01000098,0.10149187873311603,4.6681673878090395,9
E01000099,-0.015909272727788897,4.301904208682036,8
E01000100,-0.15480372778612583,3.8685871241411762,6
E01000101,0.14211609700672576,4.794905116947892,9
E01000102,0.26904619912158667,5.190896315918248,10
E01000103,0.035813640619146325,4.463267180343072,8
E01000104,-0.01986955025606722,4.289549101260321,8
E01000105,0.41914795272905137,5.659177459541578,10
E01000106,0.2944247280906814,5.270071184189304,10
E01000107,0.024439548198672844,4.4277827647494625,8
E01000108,-0.2700137842905968,3.5091596309893642,5
E01000110,-0.30387989585797653,3.4035055591767134,4
E01000111,0.0060672451006243645,4.370465625549027,8
E01000112,-0.10712478180611879,4.017333896338528,7
E01000113,-0.28482359747363856,3.4629565981298076,5
E01000114,-0.35531330487120744,3.2430457709709852,4
E01000115,-0.3650777700407273,3.2125830028383047,4
E01000116,-0.2654949582151173,3.523257274698406,5
E01000117,-0.1601973267298036,3.851760400795917,6
E01000118,-0.30132435567214055,3.4114782260645917,4
E01000119,-0.14766681750113564,3.890852556955054,6
E01000120,-0.37871755196267415,3.1700301843423557,3
E01000121,0.2203463828678255,5.038964675537846,9
E01000122,-0.3265020260755391,3.3329299879067102,4
E01000123,-0.43213877909063575,3.003368884710482,3
E01000124,-0.0832887707672992,4.091696481987372,7
E01000126,0.262865254012521,5.171613263090528,10
E01000127,-0.05874696084306244,4.168260989341245,7
E01000128,-0.026949153712050394,4.267462451883545,8
E01000129,0.49333251772421033,5.890615348175309,10
E01000130,0.01649696447281827,4.403003825789204,8
E01000131,-0.12333766117609829,3.9667536365458567,6
E01000132,-0.2012396781221769,3.723718197523115,6
E01000133,0.22579998182685343,5.055978584409791,9
E01000134,-0.07579778642317293,4.115066540172737,7
E01000135,-0.3097488995106702,3.3851956881967897,4
E01000136,-0.4470881159891984,2.956730571626035,3
E01000137,0.24705449823948009,5.122287531598337,9
E01000138,0.09715934020398327,4.65465091615928,9
E01000139,-0.37848905633411317,3.1707430354029453,3
E01000140,-0.3480358130950001,3.265749784013923,4
E01000141,0.030292729486997405,4.446043273781884,8
E01000142,-0.0050852631759834704,4.335672498856477,8
E01000143,0.1885660867829164,4.9398178432213635,9
E01000144,-0.3796294508685973,3.167185280453682,3
E01000145,-0.3933209453710253,3.124471131222113,3
E01000146,-0.12375592660520034,3.965448749635673,6
E01000147,-0.22356017970218053,3.6540836346021215,5
E01000150,-0.17112761781689168,3.8176605379536555,6
E01000151,0.006759727161193478,4.372626001983469,8
E01000152,-0.30687666868657376,3.394156353230561,4
E01000153,0.4947654758941771,5.895085830861016,10
E01000154,0.07790971174510533,4.594596734163373,8
E01000156,-0.410822183246397,3.0698715047011915,3
E01000157,-0.25372182079236855,3.5599866141222276,5
E01000158,-0.3265787958067985,3.3326904849249943,4
E01000159,-0.23678393737576509,3.61282871107486,5
E01000160,-0.626077228502663,2.3983278595356574,1
E01000161,-0.06782387868072169,4.139943202483739,7
E01000162,0.07005225282802004,4.570083364004565,8
E01000163,0.07781284865955593,4.594294544779267,8
E01000164,0.0873561030041532,4.624067188675641,9
E01000165,-0.28109433026601643,3.4745910092602013,5
E01000166,0.0004598650987014998,4.352971957041344,8
E01000167,0.10172702188198508,4.6689009775241574,9
E01000168,-0.10473210951902696,4.024798454799619,7
E01000169,-0.1394944981636273,3.916348215423052,6
E01000170,0.0107275372640171,4.385004609214731,8
E01000171,-0.18263039382564217,3.7817746607086296,6
E01000172,-0.36186013978329634,3.2226212305104953,4
E01000173,-0.39224441872019106,3.127829633831696,3
E01000174,-0.021677996917737533,4.283907185356238,8
E01000175,-0.308757445337458,3.388288785265437,4
E01000176,0.9964296963282471,7.460156785822127,10
E01000177,-0.42068340874540205,3.0391068677584556,3
E01000178,-0.2667278777640524,3.519410864096963,5
E01000179,-0.5704589591499323,2.571843399180571,2
E01000180,0.3034784343807347,5.298316556635939,10
E01000181,-0.4511345890369043,2.9441065550447494,3
E01000182,-0.4447473098796339,2.964033320165895,3
E01000183,-0.13739483946452474,3.9228986424047756,6
E01000184,0.9291197881646073,7.250166162698035,10
E01000185,0.20562319435556642,4.993031890686225,9
E01000186,-0.43155827292043747,3.0051799234673755,3
E01000187,0.07917956456267189,4.598558367624355,8
E01000188,-0.38063615865336237,3.1640445958086705,3
E01000189,-0.02954510172567278,4.259363722352477,7
E01000190,-0.3136467101512417,3.3730354623464827,4
E01000191,-0.20668008393427542,3.706745448076583,6
E01000192,-0.25861005229972195,3.544736514869255,5
E01000193,-0.3332577124404823,3.3118538814595517,4
E01000194,-0.11882324999169425,3.980837506863235,7
E01000195,0.15275747627799294,4.828103644847241,9
E01000196,0.09314587372372428,4.6421298720801785,9
E01000197,-0.38904595613258136,3.1378080630130043,3
E01000198,-0.3202500392725469,3.3524346736259685,4
E01000199,-0.13027990018601926,3.9450955309958453,6
E01000200,-0.10040641552134977,4.038293573167751,7
E01000201,-0.37797748610904586,3.1723390106949108,3
E01000202,-0.4198450216094463,3.0417224327161523,3
E01000203,-0.1985126130529721,3.7322259805346447,6
E01000204,-0.3070307705434876,3.393675592732727,4
E01000205,-0.4637105622533422,2.9048725622469664,2
E01000206,-0.4034783999162943,3.0927823313483986,3
E01000207,-0.3962017703166126,3.115483654609241,3
E01000208,-0.4156736232831875,3.0547361859321027,3
E01000209,-0.04193263866539554,4.22071760513269,7
E01000210,-0.5238761302938021,2.717170551233734,2
E01000211,-0.10257807529061623,4.031518520272817,7
E01000212,-0.518337400613492,2.7344500473527393,2
E01000213,-0.550105269355575,2.6353419853382087,2
E01000214,-0.5029518876542336,2.78244912418321,2
E01000215,-0.03405171640911916,4.245304175231176,7
E01000216,-0.3757052999946861,3.1794276814571454,3
E01000217,-0.49690479680225236,2.8013145841242397,2
E01000218,-0.4784405307358475,2.858918625529067,2
E01000219,-0.254496839394623,3.557568743653224,5
E01000220,0.10721915042897256,4.686035089385604,9
E01000221,0.8058957004479731,6.865736831720404,10
E01000222,-0.044815762955597305,4.211722955121108,7
E01000223,-0.08564683723965294,4.084339885292963,7
E01000224,-0.051436269027279845,4.191068578472582,7
E01000225,-0.2267781877360099,3.6440442283589967,5
E01000226,0.3745739408160677,5.520117330177081,10
E01000227,-0.2809119437599643,3.475160011017895,5
E01000228,-0.2915181326089819,3.4420712687191775,4
