lsoa_code,major_cat,crime_count_window
E01000032,POSSESSION OF WEAPONS,1
E01000032,PUBLIC ORDER OFFENCES,21
E01000032,ROBBERY,25
E01000032,THEFT,51
E01000032,VEHICLE OFFENCES,20
E01000032,VIOLENCE AGAINST THE PERSON,61
E01000033,ARSON AND CRIMINAL DAMAGE,11
E01000033,BURGLARY,6
E01000033,DRUG OFFENCES,6
E01000033,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000033,PUBLIC ORDER OFFENCES,6
E01000033,ROBBERY,4
E01000033,THEFT,4
E01000033,VEHICLE OFFENCES,10
E01000033,VIOLENCE AGAINST THE PERSON,44
E01000034,ARSON AND CRIMINAL DAMAGE,7
E01000034,BURGLARY,4
E01000034,DRUG OFFENCES,4
E01000034,MISCELLANEOUS CRIMES AGAINST SOCIETY,0
E01000034,POSSESSION OF WEAPONS,1
E01000034,PUBLIC ORDER OFFENCES,10
E01000034,ROBBERY,3
E01000034,THEFT,14
E01000034,VEHICLE OFFENCES,6
E01000034,VIOLENCE AGAINST THE PERSON,44
E01000035,ARSON AND CRIMINAL DAMAGE,15
E01000035,BURGLARY,8
E01000035,DRUG OFFENCES,12
E01000035,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000035,POSSESSION OF WEAPONS,1
E01000035,PUBLIC ORDER OFFENCES,20
E01000035,ROBBERY,3
E01000035,THEFT,33
E01000035,VEHICLE OFFENCES,18
E01000035,VIOLENCE AGAINST THE PERSON,75
E01000036,ARSON AND CRIMINAL DAMAGE,11
E01000036,BURGLARY,7
E01000036,DRUG OFFENCES,8
E01000036,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000036,POSSESSION OF WEAPONS,2
E01000036,PUBLIC ORDER OFFENCES,21
E01000036,ROBBERY,2
E01000036,THEFT,22
E01000036,VEHICLE OFFENCES,6
E01000036,VIOLENCE AGAINST THE PERSON,82
E01000037,ARSON AND CRIMINAL DAMAGE,11
E01000037,BURGLARY,6
E01000037,DRUG OFFENCES,5
E01000037,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000037,POSSESSION OF WEAPONS,0
E01000037,PUBLIC ORDER OFFENCES,7
E01000037,ROBBERY,2
E01000037,THEFT,12
E01000037,VEHICLE OFFENCES,13
E01000037,VIOLENCE AGAINST THE PERSON,42
E01000038,ARSON AND CRIMINAL DAMAGE,7
E01000038,BURGLARY,6
E01000038,DRUG OFFENCES,6
E01000038,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000038,PUBLIC ORDER OFFENCES,7
E01000038,ROBBERY,1
E01000038,THEFT,46
E01000038,VEHICLE OFFENCES,13
E01000038,VIOLENCE AGAINST THE PERSON,37
E01000039,ARSON AND CRIMINAL DAMAGE,6
E01000039,BURGLARY,4
E01000039,DRUG OFFENCES,30
E01000039,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000039,POSSESSION OF WEAPONS,0
E01000039,PUBLIC ORDER OFFENCES,3
E01000039,ROBBERY,2
E01000039,THEFT,7
E01000039,VEHICLE OFFENCES,7
E01000039,VIOLENCE AGAINST THE PERSON,33
E01000040,ARSON AND CRIMINAL DAMAGE,11
E01000040,BURGLARY,16
E01000040,DRUG OFFENCES,11
E01000040,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000040,PUBLIC ORDER OFFENCES,13
E01000040,ROBBERY,4
E01000040,THEFT,12
E01000040,VEHICLE OFFENCES,10
E01000040,VIOLENCE AGAINST THE PERSON,56
E01000041,ARSON AND CRIMINAL DAMAGE,7
E01000041,BURGLARY,2
E01000041,DRUG OFFENCES,4
E01000041,POSSESSION OF WEAPONS,0
E01000041,PUBLIC ORDER OFFENCES,5
E01000041,ROBBERY,1
E01000041,THEFT,4
E01000041,VEHICLE OFFENCES,15
E01000041,VIOLENCE AGAINST THE PERSON,42
E01000042,ARSON AND CRIMINAL DAMAGE,11
E01000042,BURGLARY,7
E01000042,DRUG OFFENCES,6
E01000042,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000042,POSSESSION OF WEAPONS,0
E01000042,PUBLIC ORDER OFFENCES,14
E01000042,ROBBERY,3
E01000042,THEFT,9
E01000042,VEHICLE OFFENCES,14
E01000042,VIOLENCE AGAINST THE PERSON,65
E01000043,ARSON AND CRIMINAL DAMAGE,6
E01000043,BURGLARY,9
E01000043,DRUG OFFENCES,5
E01000043,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000043,POSSESSION OF WEAPONS,1
E01000043,PUBLIC ORDER OFFENCES,7
E01000043,ROBBERY,3
E01000043,THEFT,5
E01000043,VEHICLE OFFENCES,17
E01000043,VIOLENCE AGAINST THE PERSON,26
E01000044,ARSON AND CRIMINAL DAMAGE,11
E01000044,BURGLARY,9
E01000044,DRUG OFFENCES,3
E01000044,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000044,POSSESSION OF WEAPONS,1
E01000044,PUBLIC ORDER OFFENCES,4
E01000044,ROBBERY,3
E01000044,THEFT,13
E01000044,VEHICLE OFFENCES,14
E01000044,VIOLENCE AGAINST THE PERSON,48
E01000045,ARSON AND CRIMINAL DAMAGE,10
E01000045,BURGLARY,4
E01000045,DRUG OFFENCES,7
E01000045,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000045,POSSESSION OF WEAPONS,0
E01000045,PUBLIC ORDER OFFENCES,11
E01000045,ROBBERY,7
E01000045,THEFT,37
E01000045,VEHICLE OFFENCES,18
E01000045,VIOLENCE AGAINST THE PERSON,70
E01000046,ARSON AND CRIMINAL DAMAGE,4
E01000046,BURGLARY,7
E01000046,DRUG OFFENCES,3
E01000046,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000046,POSSESSION OF WEAPONS,0
E01000046,PUBLIC ORDER OFFENCES,1
E01000046,ROBBERY,1
E01000046,THEFT,7
E01000046,VEHICLE OFFENCES,15
E01000046,VIOLENCE AGAINST THE PERSON,31
E01000049,ARSON AND CRIMINAL DAMAGE,8
E01000049,BURGLARY,3
E01000049,DRUG OFFENCES,11
E01000049,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000049,POSSESSION OF WEAPONS,0
E01000049,PUBLIC ORDER OFFENCES,4
E01000049,ROBBERY,6
E01000049,THEFT,34
E01000049,VEHICLE OFFENCES,16
E01000049,VIOLENCE AGAINST THE PERSON,34
E01000050,ARSON AND CRIMINAL DAMAGE,11
E01000050,BURGLARY,4
E01000050,DRUG OFFENCES,5
E01000050,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000050,PUBLIC ORDER OFFENCES,5
E01000050,ROBBERY,4
E01000050,THEFT,7
E01000050,VEHICLE OFFENCES,13
E01000050,VIOLENCE AGAINST THE PERSON,56
E01000051,ARSON AND CRIMINAL DAMAGE,16
E01000051,BURGLARY,9
E01000051,DRUG OFFENCES,9
E01000051,MISCELLANEOUS CRIMES AGAINST SOCIETY,3
E01000051,POSSESSION OF WEAPONS,2
E01000051,PUBLIC ORDER OFFENCES,11
E01000051,ROBBERY,11
E01000051,THEFT,26
E01000051,VEHICLE OFFENCES,10
E01000051,VIOLENCE AGAINST THE PERSON,69
E01000052,ARSON AND CRIMINAL DAMAGE,9
