lsoa_code,ics_score_z,ics_z,lisa_I,lisa_p,lisa_class,gistar_z,gistar_p,gistar_class
E01001105,0.0057341276048214,0.009206640851383723,0.0007675532651067497,0.98,Not sig,0.07952971069078865,0.91,Not sig
E01001123,-0.1414451960331296,-0.22710257074422524,-0.042396392501644384,0.78,Not sig,0.06870358027982093,1.0,Not sig
E01001173,-0.2913745788483033,-0.4678272416580831,-0.12934968537801142,0.45,Not sig,-0.20994992001442517,0.82,Not sig
E01001010,0.7307989333705557,1.173361281402016,0.328821205684842,0.19,Not sig,1.3242680209382391,0.16,Not sig
E01001018,-0.1407355328544973,-0.2259631447562817,-0.06794156305451518,0.75,Not sig,0.12703153897730735,0.95,Not sig
E01001067,-0.3191111794946425,-0.5123607676253717,-0.0051661897538103005,0.95,Not sig,-0.3847661901144836,0.68,Not sig
E01001068,-0.296743142270899,-0.47644693740363064,0.25389088151761957,0.32,Not sig,-0.7194644860814504,0.36,Not sig
E01001094,-0.7463771892808664,-1.198373526880568,0.8786501135555933,0.06,Not sig,-1.7659419885269356,0.11,Not sig
E01001107,-0.6406829544805083,-1.0286722354320899,0.9632729981873668,0.04,LL (coldspot),-2.0132663854465314,0.06,Not sig
E01001122,-0.847244739338371,-1.3603251559579237,0.4325452900420065,0.21,Not sig,-1.4503516373035636,0.14,Not sig
E01001017,-0.5355705524884742,-0.85990512718827,-0.6143260480163845,0.2,Not sig,-0.22450613122595137,0.84,Not sig
E01001103,0.4491038523898565,0.7210753158769947,-0.03818265057849807,0.78,Not sig,0.7636321187517516,0.49,Not sig
E01001021,1.49067449036249,2.3934076122660897,0.8793229451600549,0.02,HH (hotspot),2.610844341045953,0.01,Hotspot (Gi*)
E01001027,-0.5167443462566809,-0.8296780148330378,0.1425222150334485,0.55,Not sig,-0.9978766017525647,0.36,Not sig
E01001065,0.4863094727086282,0.7808121769192575,0.4600457733150649,0.08,Not sig,1.0827544745960562,0.17,Not sig
E01001104,-0.4056085505289161,-0.6512398237928201,0.37256988077242387,0.18,Not sig,-1.1228547160604148,0.2,Not sig
E01001060,0.19092329099763,0.3065439577767943,0.18185803954833488,0.42,Not sig,0.8445573760872161,0.41,Not sig
E01001072,-0.3020001015631203,-0.4848874430061085,-0.019533429080078706,0.91,Not sig,-0.23418936831453657,0.56,Not sig
E01001121,-0.163420540101,-0.2623858979321867,-0.1474931957382401,0.42,Not sig,0.32242657666532964,0.78,Not sig
E01001064,-0.1321544300452494,-0.21218543747137503,0.028231035111324368,0.78,Not sig,-0.3296029044298619,0.76,Not sig
E01001199,0.2688160554841031,0.43160756936180233,0.09558182043433264,0.56,Not sig,0.6986136601478127,0.45,Not sig
E01001203,0.3399989323705383,0.545897872512804,-0.10496351026005511,0.64,Not sig,0.44455321258008834,0.76,Not sig
E01001245,-0.8519163764701005,-1.367825875897196,0.625257033844816,0.13,Not sig,-1.9451980684709094,0.07,Not sig
E01001287,0.7098713580992343,1.1397602381933996,0.40454895517545264,0.34,Not sig,1.322638386141731,0.21,Not sig
E01001319,0.6046946153456304,0.9708898252579681,0.17581722493879184,0.46,Not sig,0.9328098789729535,0.23,Not sig
E01001332,0.0759288164981276,0.12191032218763237,0.024624544474092316,0.86,Not sig,0.17043696185231247,0.75,Not sig
E01001383,-0.4563039363570907,-0.7326356772352536,0.24343696296821318,0.39,Not sig,-1.028635164294381,0.28,Not sig
E01032743,-0.5550130574653035,-0.8911217608087654,-0.2594499609662401,0.35,Not sig,-0.6451981698296905,0.66,Not sig
E01034029,-0.5423826629540497,-0.8708425633282961,-0.1783576502440405,0.52,Not sig,-0.80784646708853,0.54,Not sig
E01001200,-0.3122637833983962,-0.5013666773347599,-0.13149213180563998,0.53,Not sig,-0.2400825386650426,0.86,Not sig
E01001207,-0.5596992475549651,-0.898645846788391,0.17958922142169767,0.55,Not sig,-0.8896366983748377,0.38,Not sig
E01001216,0.3930525675429612,0.6310801004914871,0.25033754987683005,0.43,Not sig,1.2560214101372897,0.22,Not sig
E01001219,0.5408960396195657,0.8684556601993264,0.39963976008767177,0.22,Not sig,1.2961265035252518,0.2,Not sig
E01001223,-0.4644382546557773,-0.7456960331094175,0.32215099998638475,0.36,Not sig,-1.0254966011976052,0.31,Not sig
E01001230,-0.4599187158495586,-0.7384395202672976,-0.11606700618192088,0.63,Not sig,-0.24850689323766292,0.57,Not sig
E01001249,0.2314797993234847,0.37166096110756797,0.14784125939482648,0.52,Not sig,0.610394337506501,0.59,Not sig
E01001288,-0.3396980780502091,-0.5454148247212713,0.06283562703115765,0.63,Not sig,-0.5004479858789419,0.57,Not sig
E01001292,0.0510722406241173,0.08200092661109767,0.027939468119570567,0.78,Not sig,0.422750208176624,0.74,Not sig
E01001293,0.1435174112139918,0.2304296925405655,-0.008054931387760207,0.98,Not sig,0.3021318631575686,0.85,Not sig
E01001303,-0.7899127349702674,-1.2682736339333374,0.707089564012217,0.09,Not sig,-1.685138081670156,0.07,Not sig
E01001304,-0.2074609437025144,-0.33309659829541854,0.19895920168176828,0.42,Not sig,-1.0267595502648827,0.3,Not sig
E01001315,-0.1302785148264102,-0.2091734923460219,-0.018626896197234424,0.85,Not sig,-0.06892322187980451,0.93,Not sig
E01001340,0.1075181755131292,0.17262978698153644,-0.0642308617785661,0.8,Not sig,-0.29982009141678434,0.83,Not sig
E01001346,0.1447242760453349,0.23236741904825556,0.11153346344300429,0.59,Not sig,0.5289997052601775,0.56,Not sig
E01001352,-0.6174061429216338,-0.9912992889340612,0.46209013674214433,0.35,Not sig,-1.382884540639134,0.21,Not sig
E01001355,-0.2208536408188538,-0.3545997389436671,0.015170205954968595,0.91,Not sig,-0.29315174578014813,0.78,Not sig
E01001356,0.9015667240901172,1.4475438295575642,-0.016630014260302833,0.83,Not sig,1.1152256859025673,0.22,Not sig
E01001363,-0.5518786515485772,-0.8860891993545204,-0.06736995008277108,0.69,Not sig,-0.7930116744077088,0.51,Not sig
E01001364,0.9151118876320298,1.4692917683196471,-0.17950922732394606,0.46,Not sig,1.4833792467241438,0.21,Not sig
E01001366,0.442759038272477,0.710888164687967,-0.19013979624453192,0.48,Not sig,0.2696726725711045,0.71,Not sig
E01001369,0.3757906352250943,0.6033645660276499,0.08764711819955615,0.53,Not sig,0.47203788184834905,0.64,Not sig
E01001372,-0.3048749287839634,-0.48950322827566284,0.0890709036082461,0.7,Not sig,-0.6420987024693565,0.6,Not sig
E01001373,0.087389503601643,0.14031145263743522,-0.01088987121046516,0.92,Not sig,0.004364065801834761,0.98,Not sig
E01001379,-0.9233995373669384,-1.4825983111575118,1.0846778457803554,0.08,Not sig,-1.8112979322431086,0.07,Not sig
E01001380,-0.8004349108598832,-1.2851679029602965,0.9641382960447923,0.06,Not sig,-1.8089804108736471,0.06,Not sig
E01001198,-0.7092602828198755,-1.138779103656822,-0.5101481174322187,0.22,Not sig,-0.5847305733266603,0.5,Not sig
E01001206,-0.0477790298978984,-0.07671339021606854,-0.03710490811713455,0.77,Not sig,0.544911815255615,0.71,Not sig
E01001211,-0.3154495185284981,-0.5064816523077302,0.5669705037141749,0.16,Not sig,-1.4948016040761218,0.17,Not sig
E01001215,0.1628865671187103,0.2615285578429756,0.12024847173375719,0.68,Not sig,0.6265714918575312,0.43,Not sig
E01001233,0.6653095474199421,1.0682123733941282,-0.43798524055916443,0.14,Not sig,0.8739195427253629,0.55,Not sig
E01001236,0.5316499691231504,0.8536102894274097,-0.7567990655597223,0.09,Not sig,0.18967209504275281,0.99,Not sig
E01001251,-0.5546233257881885,-0.8904960126868388,-0.018802645724816134,0.85,Not sig,-0.9034266913219581,0.36,Not sig
E01001255,-0.6345534843324648,-1.0188308377249906,-0.052603421354981895,0.75,Not sig,-0.9771410398781353,0.35,Not sig
E01001305,-0.0905477587150831,-0.1453823060523502,0.08370860012671917,0.6,Not sig,-0.8240673274200744,0.53,Not sig
E01001334,0.3580665034972666,0.5749069301906844,0.2783898892313463,0.32,Not sig,1.0181724866638722,0.35,Not sig
E01001374,-0.5954172445728534,-0.9559941991686098,0.6151527529122803,0.11,Not sig,-1.5975533667580557,0.14,Not sig
E01001376,0.0053790265295728,0.008636495174296837,-0.008408082222903552,0.94,Not sig,-0.756828131500473,0.4,Not sig
E01001385,-0.6164180558824186,-0.9897128292096019,1.0201097388017264,0.04,LL (coldspot),-1.905419909481636,0.07,Not sig
E01001331,0.2153780488755201,0.34580819959449205,0.20167398005078663,0.39,Not sig,1.1329644067806364,0.41,Not sig
