lsoa_code,Region name,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01002395,London,1.084976316492195,3,-0.32276380283902945,0.06098204447561881,-0.5927044995358447
E01002398,London,1.1190182064468823,4,-0.34628606484620944,0.07753110332145674,-0.3705576309187615
E01002400,London,1.1945087586436003,5,-0.5008224051109119,0.28941180005073863,0.04926243694995621
E01002402,London,1.204855396330027,5,-0.3315815061705463,0.2102329918227524,0.024599886600770615
E01002403,London,1.2091436293154276,6,-0.2624720997414047,0.23096214108079063,-0.03813339346789727
E01002404,London,1.284223121795376,7,-0.2563228559313762,0.5653935793825355,0.09585210211995625
E01002405,London,1.1875857042785964,5,-0.39547494500423147,-0.09382273304487411,0.2833899247381226
E01002408,London,1.2486613647440141,6,-0.42138970155891214,0.5477660634088417,0.053765946982148156
E01002409,London,1.2938621030549857,7,-0.37201314501094856,0.25113308482738617,0.586729436297265
E01002410,London,1.0396083201126556,2,-0.510967182717031,-0.20850750298944645,-0.42177585256506084
E01002411,London,1.0985511413239801,3,-0.40537030428202475,0.16435894878306495,-0.5276704767099822
E01002415,London,0.927918413733857,1,-0.7361959186676685,-0.47336489812495863,-0.6376648181002909
E01002416,London,0.9155552541479174,1,-0.7322446470886593,-0.4958567273841506,-0.6972699323631731
E01002418,London,1.0854209137593285,3,-0.5142985145233459,-0.16652872529588342,-0.17084878563558772
E01002419,London,0.9541438423399308,1,-0.5565581657994764,-0.644772673166398,-0.4801278068195612
E01002421,London,1.0472682979792056,2,-0.6079576374345227,-0.40024584103774885,-0.0846294920011994
E01002423,London,0.9969323266331958,2,-0.27397179617741485,-0.5318593917589731,-0.6051678853361088
E01002424,London,1.0241770614310282,2,-0.5955063488878943,-0.0894246041287037,-0.553858250045329
E01002425,London,1.1211250591741875,4,-0.343431104745251,0.17889447068820316,-0.4614588592326556
E01002426,London,1.1232862212843058,4,-0.2544659021264475,0.10073973296296462,-0.4586089435334502
E01002427,London,1.144232680265902,4,-0.4324939034780277,-0.06598559932534855,0.018543806337086077
E01002428,London,1.0486290208644105,2,-0.5081658974888946,-0.08931675647146084,-0.48674939185033095
E01002429,London,1.1633950309475614,5,-0.46597519316480307,0.3212887348814831,-0.21412690213143648
E01002430,London,0.9712035877905184,1,-0.41298734232376494,-0.7046811242927112,-0.4559580944864979
E01002431,London,0.9723062085965486,1,-0.5006608917940053,-0.7606391143544234,-0.3053570547077295
E01002432,London,1.03383765591159,2,-0.34250031532783676,-0.6413189410681516,-0.19390678220500623
E01002435,London,0.9800475809241413,1,-0.4214934432328397,-0.8352131270844624,-0.26101844059676954
E01002436,London,1.0433702516208074,2,-0.5421780280152891,-0.4528820080538384,-0.12241189904964984
E01002437,London,1.2098052128828856,6,-0.32635892657625093,-0.6067969036605289,0.8676942483156423
E01002439,London,1.113569685077658,4,-0.26665333044580314,-0.43463768880560466,0.027539142858309922
E01002445,London,1.121583723369177,4,-0.3646526200252052,0.4821046192821018,-0.7405483451672801
E01002446,London,1.047471534524186,2,-0.38254465812460353,-0.11645205532170418,-0.5925516293993721
E01002448,London,1.124021791820603,4,-0.19759708135479967,-0.09719222472351063,-0.31289637591113273
E01002450,London,0.9016010148164623,1,-0.47644378255999403,-0.5352025410556929,-1.0019276308874085
E01002455,London,1.1557283772306923,4,-0.3602791372767084,0.10173108028061982,-0.14872506826234744
E01002456,London,1.1477371253614717,4,-0.4020573406568484,-0.14879821799347456,0.0930709324567411
E01002457,London,1.0536946032836263,3,-0.4513717232286758,0.13138530854160518,-0.7322268466712338
E01002459,London,1.0206530444878779,2,-0.5320931781937158,-0.6090411865409111,-0.11992961930435743
E01002462,London,0.9036574226464431,1,-0.616729165340094,-0.6231763737745138,-0.7606701708421993
E01002463,London,1.013151546706958,2,-0.5647561377886896,-0.6334183360527322,-0.11030534921464379
E01002465,London,0.990092701150242,2,-0.4394495797481959,-0.23872670354635891,-0.776055033765541
E01002466,London,0.9624231174339217,1,-0.5344436244393684,-0.4477135872136489,-0.6469693817210577
E01002467,London,1.1112299933163754,4,-0.4850912842650617,-0.36899443014342953,0.16554499835396838
E01002468,London,0.9663323989340465,1,-0.4984943985216044,-0.4666660593980073,-0.6392561551684146
E01002469,London,1.0034459936549642,2,-0.41278933547610475,-0.3867020132645332,-0.5703358151432286
E01002470,London,1.0868261751678552,3,-0.2923619901194465,-0.391981790115547,-0.15844979925108477
E01002471,London,0.9639155753654187,1,-0.44776445589169556,-0.6040397270173625,-0.5678888083916256
E01002474,London,1.1077667529877666,3,-0.3191889272036556,-0.5213328124410919,0.13009040245101014
E01002478,London,1.0940478784046825,3,-0.3423598079494899,-0.6285641525477655,0.17377768080475706
E01002481,London,1.1858364903381242,5,-0.4260231303940662,-0.01534111147630575,0.22439997037727086
E01002482,London,0.9936957994592339,2,-0.379328437566495,-0.8214361690955219,-0.23069206800380582
E01002483,London,1.0474228788925488,2,-0.3988589489915368,-0.4366798889852273,-0.25631704979719167
E01002484,London,1.1369116584935754,4,-0.46861075903169036,0.04837090085763305,-0.10597091560814224
E01002485,London,1.1022063841464607,3,-0.3511570881381028,-0.19127879731111205,-0.2031417067398328
E01002487,London,1.1437621791573518,4,-0.4872780408162804,0.22772500827566222,-0.22335663065497358
E01002488,London,1.056228910298833,3,-0.48774218696623867,-0.07585690572643457,-0.4725951952602763
E01002489,London,0.9840598303454523,2,-0.40219632325558874,-0.3098069489139039,-0.7803609137182558
E01002490,London,1.0560169342216184,3,-0.30339261692004954,-0.06209665009718202,-0.6720448898320658
E01002494,London,1.009962343788545,2,-0.43737305251976805,-0.3416413595003295,-0.5496238829289951
E01002495,London,1.002055855240807,2,-0.3456035261422135,-0.3578498846486786,-0.6751606088892643
E01002496,London,1.0735548957822847,3,-0.3829625353794433,-0.19122318443393885,-0.35249362026006503
E01002498,London,0.9750309433136675,1,-0.7958746612741168,-0.4256992766179645,-0.3278604847011197
E01002501,London,1.1603570503995804,5,-0.3804799142958417,0.06701952410208177,-0.06455558825902123
E01002502,London,1.1528066438611682,4,-0.37983205699235684,0.23275052201570226,-0.27865942739193406
E01002503,London,1.1886265851842157,5,-0.41546473785438254,0.29341132241203455,-0.07727508624473649
E01002509,London,0.9988167612686732,2,-0.5689037679963949,-0.43129108272380506,-0.398892994698403
E01002511,London,1.2022398189921297,5,-0.5325715562945331,0.08985120417189231,0.32943905348609
E01002513,London,1.0960912561765623,3,-0.3925330016398442,-0.3356816587253315,-0.056015735818168134
E01002516,London,1.025772554709026,2,-0.4090192172252438,-0.6235862570831622,-0.19609885575458366
E01002518,London,1.0239967556543557,2,-0.3074277435865689,-0.44824514831456996,-0.48425599685159626
E01002523,London,0.9748188697893273,1,-0.2708990710644117,-0.29743194047891036,-0.9824438958948495
E01002525,London,1.1102630695369125,3,-0.3158862039861745,-0.12317817876275133,-0.25558811306049006
E01002529,London,1.0463419779051535,2,-0.23623612342180333,-0.03544674058652684,-0.8270052363061792
