lsoa_code,ics_score_z,rDERI_score_0_10,ics_pct,deri_pct,ics_z,deri_z,ics_rank_desc,deri_rank_desc,ics_high,deri_high,quadrant,overlooked_flag
E01000519,-0.0105310976569305,4.015179566209197,0.5200498649490962,0.6131311032619987,-0.016908593700750568,0.22411867600685142,2311,1863,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000563,-0.3897085044610021,3.13911161752693,0.2811136505298151,0.2821525036359859,-0.6257109162141623,-0.5862746935399136,3461,3456,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000601,1.0577318556285524,5.464925354507239,0.943278620403075,0.9384998961146894,1.6982805376793595,1.5651840307344698,274,297,1,1,Q1: High ICS & High DERI (consensus high risk),0
E01000608,-0.3430963285574233,4.462329030399385,0.30812383129025556,0.7631414917930605,-0.5508710116252116,0.6377475064202565,3331,1141,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000622,0.2732041014795554,4.115501451238066,0.6904217743611053,0.649075420735508,0.4386529590537769,0.31691991427851235,1491,1690,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000643,1.0580544657444553,6.88978284744691,0.9434863910243092,0.9925202576355703,1.6987985162938646,2.883226845294876,273,37,1,1,Q1: High ICS & High DERI (consensus high risk),0
E01000487,0.1509088315016818,4.490529574421649,0.6193642218990235,0.769166839808851,0.242297261011341,0.6638339919806858,1833,1112,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000486,-0.8654080885709933,3.294780598528014,0.06814876376480365,0.3436526075212965,-1.3894879937193951,-0.44227546352912206,4486,3160,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000499,-0.5073953141071896,4.746235197274166,0.21338042800747975,0.8323291086640349,-0.8146673301674194,0.9003706003878278,3787,808,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01033463,-0.2861441779978669,5.413445576037249,0.3438603781425306,0.931435694992728,-0.4594293779449975,1.5175634423993218,3159,331,0,1,"Q3: Low ICS & High DERI (DERI-flagged, not ICS)",0
E01000518,0.5094761977602554,4.41867177320629,0.7999168917515064,0.7521296488676501,0.8180083699502102,0.5973630227565203,964,1194,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01033938,0.436665406091883,4.570218669050131,0.7666735923540411,0.7918138375233742,0.7011043079562155,0.7375491804078432,1124,1003,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000701,-0.9753292992981576,2.662053381015477,0.04467068356534386,0.12923332640764595,-1.5659760628483737,-1.0275701801948738,4599,4192,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000702,-0.6378473118266138,2.510554991794292,0.14232287554539788,0.0997298981923956,-1.0241193643945994,-1.1677114675305562,4129,4334,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000705,-0.3061817054832974,3.097219685838832,0.33264076459588615,0.2642842302098483,-0.4916013719817092,-0.6250261896180485,3213,3542,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000746,-0.0287733490836274,3.284100094274496,0.5096613338873883,0.33949719509661336,-0.04619811580085112,-0.452155302009101,2361,3180,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000796,0.2713215432435011,4.393512264283388,0.6889673800124663,0.7434032827758155,0.43563034798621186,0.5740896005946432,1498,1236,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000669,-0.2394259965755056,2.9599880837206816,0.37377934760024933,0.21670475794722627,-0.3844192722710772,-0.7519702019131075,3015,3771,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000699,-0.5946711634025944,2.9717942483794086,0.1643465613962186,0.22002908788697279,-0.9547963009260284,-0.7410490883469727,4023,3755,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000741,-0.3024340145831044,3.702247070793328,0.33513401205069604,0.4994805734469146,-0.485584128118657,-0.06535478296649902,3201,2410,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000744,1.086533585947635,5.731090273566931,0.9478495740702265,0.9555370870558902,1.7445242220234611,1.811395852473146,252,215,1,1,Q1: High ICS & High DERI (consensus high risk),0
E01000781,0.4673429202754977,4.757911632136436,0.7828797008103054,0.8344068148763765,0.7503597265248996,0.9111717093732218,1046,798,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000798,1.188286303145821,5.319628256545702,0.9594847288593393,0.919592769582381,1.9078970639721253,1.4307791538302,196,388,1,1,Q1: High ICS & High DERI (consensus high risk),0
E01000805,0.195002874007972,4.042764014197473,0.6465821732806981,0.6241429461874091,0.31309408330382976,0.2496352512747072,1702,1810,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01032562,0.6868192932019309,4.393530767882386,0.8639102430916269,0.7436110533970497,1.1027481420179017,0.574106717068272,656,1235,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000707,-0.8505021148647172,1.8194047903005903,0.0733430292956576,0.025971327654269686,-1.3655551558211871,-1.807049479489427,4461,4689,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000795,-0.0050104916023622,3.530178121310902,0.5248285892374818,0.43237066278828173,-0.008044780278872678,-0.2245245551002456,2288,2733,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000801,-0.0121155651626448,3.324654692792775,0.5185954706004571,0.3557033035528776,-0.019452594161000408,-0.4146408856978109,2318,3102,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000806,-0.1129112973889358,3.5677496929234214,0.4516933305630584,0.44961562435071684,-0.18128891346077933,-0.18976954258776302,2640,2650,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
E01000674,-0.4198286209916517,3.911110958151896,0.2634531477249117,0.5807188863494702,-0.674071384346456,0.1278515884202642,3546,2019,0,0,Q4: Low ICS & Low DERI (consensus low risk),0
