lsoa_code,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,dpi_score,dpi_ci_lower,dpi_ci_upper,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.954,,,26.669,0.143,0.088,30.73,-0.143,0.558,45.088,20.153,2228,176.23333333333335,99.86666666666667,100.0,206.0,92.45960502692999,4.537529311144476,22.294887039239,33.353151010701545,32.6397146254459,32.6397146254459,66.64684898929846
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.955,,,35.283,0.208,0.13,24.438,0.39,0.212,50.054,34.175,2107,134.68,91.9,97.7,164.0,77.83578547698148,4.36736702419637,25.158684362377382,33.698788228505485,34.85285631852279,34.85285631852279,66.30121177149451
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.941,,,39.89,0.228,0.17299999999999996,26.185,0.8169999999999998,0.32399999999999995,47.453,29.31,1692,146.0,88.7,100.0,133.0,78.60520094562648,4.377079429228765,26.157860404435745,28.31050228310502,36.13829093281148,36.13829093281148,71.68949771689498
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.959,,,29.266,0.174,0.105,25.037,0.214,0.008,47.111,26.795,2258,136.94,91.24,97.5,182.0,80.60230292294065,4.401857483666687,20.482520925652388,37.07533234859675,30.280649926144754,30.280649926144754,62.92466765140325
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.959,,,34.672,0.222,0.134,31.664,0.276,0.131,50.107,18.066,1811,125.3,84.3,100.0,155.0,85.58807288790723,4.461162079615645,21.32564841498559,33.57348703170029,30.907780979827088,30.907780979827088,66.4265129682997
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.952,0.95,0.955,43.523,0.275,0.167,27.219,0.636,0.786,51.428,26.265,2159,112.0,89.2,99.91428571428571,216.0,100.0463177396943,4.615579003202445,23.19949012109624,32.24984066284258,33.58827278521351,33.58827278521351,67.75015933715741
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.962,,,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274,2290,161.06666666666666,96.61666666666667,97.66666666666667,175.0,76.41921397379913,4.349234992344141,21.055718475073316,35.131964809384165,31.26099706744868,31.26099706744868,64.86803519061584
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.967,,,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,1498,133.9,95.5,100.0,106.0,70.76101468624833,4.273341357648459,23.850085178875638,31.175468483816015,35.09369676320272,35.09369676320272,68.82453151618398
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.958,,,40.044,0.229,0.126,27.703000000000003,0.701,1.217,49.479,26.503,1670,134.4,99.16,99.84,115.0,68.8622754491018,4.2465258104071015,25.33112582781457,28.14569536423841,37.831125827814574,37.831125827814574,71.8543046357616
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.958,,,31.83,0.16,0.117,29.621999999999996,0.106,0.6339999999999999,42.938,38.207,1744,153.44,99.84,100.0,115.0,65.94036697247705,4.203802177878656,25.177304964539005,28.085106382978726,35.39007092198582,35.39007092198582,71.91489361702128
E01033587,Barking and Dagenham 021E,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.975,0.973,0.976,35.019,0.2,0.11,20.416,-0.149,0.669,58.179,43.024,2086,105.88333333400001,61.2,96.72,620.0,297.2195589645254,5.697829990268654,12.597984322508399,51.735722284434495,20.156774916013436,20.156774916013436,48.264277715565505
E01034479,Barking and Dagenham 021G,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.968,0.966,0.969,39.97062421830585,0.2799306424104605,0.154468732234224,24.982788231949968,0.5000056850483229,0.28103979533826035,51.80166827743036,20.286669130187608,3518,112.43333333333334,87.51833333333333,100.0,163.0,46.33314383172257,3.85721076536998,20.133333333333333,35.06666666666667,30.133333333333333,30.133333333333333,64.93333333333334
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.971,,,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,1947,122.75999999999999,92.02000000000001,99.86,87.0,44.68412942989214,3.8217509603402036,26.58779576587796,28.829389788293895,36.48816936488169,36.48816936488169,71.1706102117061
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.966,,,16.375,0.087,0.07,16.481,-0.626,0.032,31.781,28.36,1882,172.9,99.225,100.0,69.0,36.66312433581297,3.628681481439843,18.037781840341253,31.62705667276051,30.04265691651432,30.04265691651432,68.37294332723948
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.958,,,36.999,0.196,0.118,36.347,0.136,1.057,44.869,39.815,1777,180.57999999999998,100.0,100.0,223.0,125.49240292628025,4.840182250445412,24.350649350649352,31.68831168831169,35.064935064935064,35.064935064935064,68.31168831168831
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.964,,,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525,2060,151.95999999999998,99.42,100.0,140.0,67.96116504854369,4.233543520768174,22.051639916259596,34.473133286810885,32.17027215631542,32.17027215631542,65.52686671318912
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,0.955,0.953,0.957,42.183,0.256,0.175,32.562,0.324,0.9940000000000001,48.266,23.563,2081,120.72,90.64,99.78,113.0,54.30081691494474,4.012787680841325,22.65943012211669,33.310719131614654,32.90366350067843,32.90366350067843,66.68928086838534
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.947,,,42.631,0.275,0.175,23.976,0.684,0.7619999999999999,44.376,33.8,1441,162.88,99.52000000000001,100.0,96.0,66.6204024982651,4.21390974961732,24.207269914926528,27.1461716937355,37.20030935808198,37.20030935808198,72.8538283062645
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.955,,,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.423999999999996,1747,153.18,97.26,100.0,269.0,153.97824842587292,5.043284774335383,25.44674767691208,27.662616154395998,36.45461043602573,36.45461043602573,72.337383845604
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.978,,,33.632,0.216,0.12299999999999998,26.013,0.025,0.372,50.4,25.696,2372,142.7,85.84,99.9,148.0,62.394603709949415,4.149378742835669,22.606689734717417,32.06459054209919,33.44867358708189,33.44867358708189,67.93540945790082
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.971,,,25.602999999999998,0.123,0.075,16.187,0.167,0.9460000000000001,41.502,31.382,1523,142.275,96.95,100.0,138.0,90.61063690085358,4.517547388310052,22.687373396353816,37.60972316002701,32.748143146522615,32.748143146522615,62.39027683997299
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.956,,,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245,1710,149.84,93.78,99.03999999999999,168.0,98.24561403508773,4.597597727508606,22.939346811819597,30.7153965785381,34.68118195956454,34.68118195956454,69.2846034214619
