lsoa_code,crime_count_window,crime_rate_per_1000_window
E01002152,36.0,21.518230723251644
E01002174,60.0,36.58536585365854
E01002176,115.0,67.60728982951206
E01002189,223.0,123.00055157198014
E01002194,29.0,16.7727009832273
E01002142,240.0,134.2281879194631
E01002181,171.0,87.55760368663594
E01002228,78.0,31.967213114754095
E01002132,87.0,38.56382978723404
E01002186,151.0,85.74673480976718
E01002137,66.0,36.687048360200116
E01002133,160.0,74.73143390938813
E01002230,42.0,23.051591657519207
E01002113,58.0,36.966220522625875
E01002112,119.0,59.94962216624685
E01002226,263.0,116.52636242800176
E01034593,78.0,39.255158530447915
E01002155,63.0,36.37413394919169
E01002187,47.0,23.523523523523526
E01002190,42.0,26.13565650280025
E01002229,108.0,56.962025316455694
E01002134,106.0,77.42878013148284
E01002225,41.0,23.60391479562464
E01002114,82.0,40.91816367265469
E01002144,93.0,60.86387434554974
E01002287,56.0,36.458333333333336
E01002297,134.0,87.35332464146023
E01002378,31.0,18.441403926234383
E01002365,111.0,80.61002178649238
E01002355,34.0,22.864828513786147
E01002272,66.0,53.65853658536585
E01002264,90.0,57.87781350482315
E01002351,55.0,32.62158956109134
E01002359,32.0,24.390243902439025
E01002318,39.0,23.395320935812837
E01002267,91.0,57.52212389380531
E01033788,103.0,38.02141011443337
E01002280,124.0,76.44882860665844
E01002346,88.0,57.17998700454841
E01002364,25.0,17.041581458759374
E01002335,53.0,34.68586387434555
E01002332,70.0,42.34724742891712
E01002261,261.0,154.25531914893617
E01002251,90.0,62.981105668299506
E01002316,186.0,103.85259631490787
E01002333,50.0,37.65060240963856
E01002340,94.0,66.85633001422475
E01002341,51.0,39.260969976905315
E01002358,139.0,65.90801327643433
E01002366,86.0,58.9041095890411
E01002258,81.0,47.17530576587071
E01002262,69.0,39.1156462585034
E01002283,74.0,46.45323289391086
E01002295,84.0,46.64075513603554
E01002336,72.0,46.69260700389105
E01002338,87.0,62.5
E01002352,86.0,47.20087815587267
E01002303,119.0,56.185080264400376
E01002274,94.0,56.96969696969697
E01002291,83.0,48.70892018779343
E01002322,53.0,26.513256628314156
E01002347,53.0,33.396345305608065
E01002362,69.0,45.484508899143044
E01002381,68.0,39.742840444184694
E01002382,59.0,32.1701199563795
E01002243,209.0,105.55555555555556
E01002256,20.0,12.987012987012989
E01002278,86.0,52.4390243902439
E01002315,95.0,55.58806319485079
E01002317,46.0,28.767979987492183
E01002327,55.0,37.77472527472527
E01002367,68.0,41.6156670746634
E01002245,129.0,77.6173285198556
E01002286,39.0,23.955773955773957
E01002309,80.0,46.24277456647398
E01002320,39.0,26.08695652173913
E01002323,53.0,31.870114251352977
E01002343,62.0,35.42857142857143
E01002363,66.0,40.36697247706422
E01002372,64.0,37.03703703703704
E01032741,1024.0,784.0735068912711
E01002290,47.0,30.961791831357047
E01002307,62.0,35.36794067313177
E01002310,240.0,137.61467889908258
E01002314,103.0,58.68945868945869
E01002331,68.0,42.95641187618446
E01002350,258.0,159.3576281655343
E01002375,121.0,69.54022988505747
E01002292,89.0,56.36478784040532
E01002306,112.0,69.00800985828711
E01002326,364.0,228.49968612680476
E01002354,50.0,36.231884057971016
E01002356,1067.0,417.1227521501173
E01002288,30.0,18.315018315018317
E01002302,94.0,57.14285714285714
E01002328,51.0,29.807130333138513
E01002342,118.0,73.24643078833023
E01002380,158.0,65.6691604322527
E01002383,64.0,37.982195845697326
E01002373,65.0,39.90178023327195
E01002284,114.0,57.86802030456853
E01002298,67.0,41.64077066500933
E01002300,58.0,32.31197771587744
E01002301,45.0,28.337531486146094
E01002324,47.0,31.39612558450234
E01002371,117.0,69.60142772159429
E01002386,290.0,146.9098277608916
E01002247,155.0,74.77086348287507
E01002281,205.0,106.43821391484943
E01002289,165.0,98.74326750448833
E01002376,21.0,14.613778705636742
E01032742,190.0,132.9601119664101
E01002266,218.0,150.03441156228493
E01002271,26.0,17.060367454068242
E01002308,76.0,43.45340194396798
E01002361,440.0,244.44444444444443
E01002244,109.0,59.98899284534948
E01002246,85.0,47.01327433628318
E01002255,28.0,17.879948914431672
E01002299,73.0,37.92207792207792
E01002339,61.0,37.515375153751535
E01002384,115.0,72.78481012658227
E01002390,28.0,19.943019943019944
E01002275,35.0,25.906735751295336
E01002279,92.0,55.55555555555555
E01002282,453.0,257.2402044293015
E01002319,235.0,137.66842413591095
E01002325,170.0,92.49183895538629
E01002360,41.0,27.44310575635877
E01002313,143.0,72.81059063136456
E01002330,181.0,95.86864406779661
E01002369,105.0,54.01234567901234
E01002379,134.0,89.7521768251842
E01002388,38.0,22.974607013301085
E01033784,238.0,124.02292860865035
E01002248,325.0,213.25459317585302
E01002269,80.0,44.3213296398892
E01002353,401.0,189.4189891355692
E01002265,52.0,37.43700503959683
E01002270,56.0,32.44495944380069
E01002321,109.0,61.27037661607645
E01002345,408.0,229.85915492957744
E01002349,84.0,56.60377358490566
E01002377,96.0,55.204140310523286
E01002329,119.0,70.91775923718713
E01002337,142.0,108.97927858787413
E01002374,126.0,77.34806629834254
E01002257,54.0,30.612244897959183
E01002263,51.0,30.81570996978852
E01002312,128.0,89.44793850454228
E01002254,58.0,37.15566944266496
E01002294,33.0,22.790055248618785
E01002334,67.0,38.908246225319395
E01002252,32.0,20.317460317460316
E01002253,31.0,19.595448798988624
E01002285,66.0,53.61494719740049
E01002250,109.0,60.690423162583514
E01002273,63.0,46.944858420268254
E01002368,386.0,215.76299608719955
E01002389,44.0,30.013642564802183
E01002260,95.0,55.104408352668216
E01002268,54.0,36.809815950920246
E01002277,122.0,79.47882736156352
E01002311,102.0,56.98324022346369
E01002387,54.0,33.70786516853933
E01002259,58.0,39.40217391304348
E01002305,49.0,31.921824104234524
E01002348,75.0,48.764629388816644
E01002370,340.0,158.73015873015873
E01002276,133.0,64.00384985563042
E01002296,88.0,50.34324942791762
E01002304,108.0,72.67833109017496
E01002391,55.0,32.73809523809524
E01002344,230.0,134.66042154566745
E01002385,63.0,38.555691554467565
E01034614,108.0,30.6035704165486
E01002395,65.0,47.44525547445255
E01002445,190.0,104.56796917996698
E01002546,78.0,45.3224869262057
E01034616,362.0,113.83647798742139
E01002398,134.0,72.7075420510038
E01002466,49.0,29.080118694362017
E01002493,144.0,72.50755287009063
E01002542,184.0,85.90102707749766
E01034611,54.0,20.72936660268714
E01002394,69.0,40.780141843971634
E01002409,114.0,57.34406438631791
E01002450,52.0,36.18649965205289
E01002468,36.0,20.419739081111743
E01002469,29.0,16.53363740022805
E01002523,108.0,62.06896551724138
E01002550,130.0,70.49891540130152
E01002484,67.0,49.26470588235294
E01002413,203.0,128.48101265822783
E01002416,38.0,21.72670097198399
E01002420,49.0,29.553679131483715
E01002492,107.0,60.01121704991587
E01002501,91.0,53.43511450381679
E01002529,305.0,130.23057216054653
E01002553,130.0,77.42703990470517
E01002393,145.0,65.25652565256526
E01002429,76.0,52.55878284923928
E01002457,118.0,70.9561034275406
E01002487,121.0,60.83459024635495
E01002491,112.0,65.84362139917695
E01002518,95.0,68.0515759312321
E01002528,143.0,79.44444444444444
E01002547,123.0,70.1254275940707
E01002471,68.0,41.18715929739552
E01002417,106.0,63.47305389221557
E01002399,69.0,44.23076923076923
E01002421,75.0,43.52872896111434
E01002427,47.0,29.10216718266254
E01002431,28.0,20.275162925416364
E01002483,209.0,115.27854384997242
E01002415,32.0,19.05896366885051
E01002418,44.0,24.390243902439025
E01002422,114.0,74.75409836065573
E01002456,186.0,107.70121598147075
E01002465,53.0,33.56554781507283
E01002514,397.0,194.89445262641138
E01002530,151.0,86.68197474167623
E01002396,219.0,120.0
E01002511,99.0,63.54300385109114
E01002531,82.0,49.27884615384615
E01002403,129.0,56.40577175338872
E01002404,135.0,67.19761075161772
E01002410,187.0,106.12939841089671
E01002424,85.0,49.649532710280376
E01002452,108.0,70.17543859649122
E01002489,304.0,152.3046092184369
E01002503,179.0,100.28011204481793
E01002551,119.0,60.869565217391305
E01034605,84.0,31.390134529147982
E01002397,365.0,186.7007672634271
E01002402,100.0,62.61740763932373
E01002408,131.0,85.06493506493507
E01002506,539.0,247.58842443729904
E01002508,216.0,104.49927431059507
E01002539,39.0,23.737066342057215
E01002552,169.0,101.74593618302227
E01002425,82.0,43.733333333333334
E01002451,57.0,36.703155183515776
E01002453,55.0,31.791907514450866
E01002467,31.0,20.10376134889754
E01002490,240.0,103.09278350515463
E01002526,262.0,114.81156879929887
E01002534,46.0,32.67045454545455
E01034612,516.0,211.99671322925226
E01002401,212.0,103.71819960861056
E01002419,36.0,22.55639097744361
E01002426,105.0,58.4958217270195
E01002437,35.0,24.752475247524753
E01002482,44.0,27.32919254658385
E01002513,66.0,49.07063197026022
E01002537,98.0,51.33577789418544
E01002498,57.0,41.42441860465116
E01002502,92.0,55.15587529976019
E01002543,153.0,79.31570762052877
E01002423,157.0,94.12470023980815
E01002449,234.0,115.89895988112927
E01002488,120.0,66.96428571428571
E01002545,153.0,96.83544303797468
E01002549,112.0,60.80347448425624
E01034601,92.0,46.53515427415276
E01002411,136.0,71.3162034609334
E01002435,47.0,30.42071197411003
E01002459,16.0,9.580838323353293
E01002463,35.0,21.76616915422886
E01002464,32.0,20.037570444583594
E01002478,64.0,39.19167176974893
E01002428,83.0,54.930509596293845
E01002432,216.0,138.72832369942196
E01002436,94.0,56.2874251497006
E01002448,187.0,82.7433628318584
E01002455,138.0,76.11693325979041
E01002470,177.0,93.79968203497616
E01002472,329.0,191.94865810968494
E01002496,394.0,212.05597416576967
E01002519,153.0,104.15248468345814
E01032577,63.0,35.43307086614173
E01002481,106.0,63.32138590203107
E01002535,315.0,160.79632465543645
E01002536,72.0,49.012933968686184
E01002540,231.0,129.77528089887642
E01002509,41.0,29.58152958152958
E01002525,90.0,53.79557680812911
E01002412,644.0,272.6502963590178
E01002414,177.0,38.50337176419404
E01002460,71.0,53.78787878787879
E01002462,22.0,15.246015246015247
E01002477,56.0,42.5208807896735
E01002479,86.0,50.76741440377804
E01002480,30.0,17.142857142857142
E01002548,166.0,97.41784037558686
E01034607,273.0,41.3260672116258
E01002392,145.0,75.56018759770714
E01002485,187.0,90.86491739552964
E01002541,104.0,50.314465408805034
E01002544,116.0,61.02051551814834
E01002433,135.0,54.81120584652863
E01002486,164.0,68.9655172413793
E01002495,89.0,39.069359086918354
E01002516,44.0,28.701891715590342
E01002520,219.0,128.52112676056336
E01002521,879.0,437.96711509716
E01034608,413.0,129.5076826591408
E01002430,29.0,20.097020097020096
E01002439,124.0,78.23343848580441
E01002512,158.0,79.75769813225644
E01002434,46.0,33.55215171407731
E01002476,36.0,24.226110363391655
E01002497,505.0,251.11884634510196
E01002505,734.0,393.56568364611263
E01002507,198.0,99.69788519637463
E01002527,114.0,71.69811320754717
E01002538,117.0,73.86363636363637
E01002400,131.0,71.78082191780821
E01002440,71.0,46.64914586070959
E01002474,74.0,45.14948139109213
E01002405,190.0,93.64218827008379
E01002442,57.0,36.7504835589942
E01002475,85.0,59.482155353393985
E01002446,372.0,204.059243006034
E01002454,102.0,54.54545454545454
E01002458,23.0,16.03905160390516
E01002494,32.0,18.244013683010262
E01002533,56.0,39.464411557434815
E01002447,369.0,182.67326732673266
E01002461,61.0,42.09799861973775
E01002443,324.0,176.6630316248637
E01002499,96.0,52.344601962922575
E01002438,76.0,56.71641791044777
E01002473,86.0,56.616194865042786
E01002441,79.0,52.14521452145215
E01002444,4460.0,2134.992819530876
E01002580,94.0,67.87003610108304
E01002627,116.0,64.73214285714286
E01002673,100.0,61.652281134401974
E01002689,76.0,46.68304668304668
E01033030,583.0,289.18650793650795
E01033081,169.0,121.06017191977077
E01034034,50.0,18.6706497386109
E01034043,75.0,31.043046357615893
E01002567,70.0,42.5531914893617
E01002602,76.0,53.71024734982332
E01002690,54.0,37.552155771905426
E01033000,100.0,59.276822762299936
E01033083,1955.0,991.8822932521563
E01034041,70.0,23.85008517887564
E01034046,152.0,46.10251744009706
E01002556,62.0,36.17269544924154
E01002561,70.0,49.61020552799433
E01002588,122.0,66.34040239260467
E01002600,82.0,53.70006548788474
E01002613,92.0,50.66079295154185
E01002646,147.0,65.86021505376344
E01002656,54.0,41.6988416988417
E01002665,108.0,64.86486486486487
E01034032,184.0,76.00165220983064
E01002574,92.0,57.356608478803
E01002616,82.0,55.033557046979865
E01002624,152.0,88.11594202898551
E01002630,207.0,110.28236547682472
E01002631,97.0,62.459755312298775
E01002636,86.0,41.64648910411623
E01002639,89.0,48.2646420824295
E01002651,119.0,63.8412017167382
E01002658,43.0,32.69961977186312
E01034036,387.0,147.70992366412213
E01002570,202.0,119.88130563798221
E01002573,148.0,92.90646578782172
E01002582,59.0,34.828807556080285
E01002584,213.0,113.23763955342902
E01002599,79.0,49.74811083123426
E01002603,81.0,42.40837696335078
E01002606,120.0,72.59528130671507
E01002619,88.0,44.6927374301676
E01002641,387.0,182.80585734529996
E01002647,106.0,47.279214986619095
E01002649,184.0,87.03878902554399
E01002659,43.0,29.211956521739133
E01002669,105.0,60.55363321799308
E01034039,149.0,53.926891060441555
E01002564,176.0,95.86056644880173
E01002609,82.0,45.70791527313266
E01002632,179.0,100.67491563554555
E01002652,184.0,103.31274564851208
E01002661,241.0,122.58392675483215
E01002666,110.0,72.55936675461741
E01002671,67.0,39.97613365155131
E01002681,574.0,278.9115646258503
E01002558,166.0,74.2065265981225
E01002587,158.0,75.63427477261848
E01002591,81.0,45.71106094808126
E01002605,133.0,66.8677727501257
