lsoa_code,dpi_score,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core,crime_count_window,crime_rate_per_1000_window,crime_rate_per_1000_window_log1p,pct_no_qual,pct_level4plus,pct_low_skill,risk_edu_low,risk_edu_highskill_inverse,pct_disabled,pct_limited_a_lot,pct_limited_a_little,pct_long_term_not_limited,pct_no_long_term_condition,risk_disability_limited,fuel_poverty_pct,risk_fuel_poverty,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01002859,0.958,10.18,0.024,0.0109999999999999,0.987,-3.2150000000000003,-0.299,33.515,45.602,1670,121.52857142857144,85.82857142857142,92.55714285714284,531.0,317.96407185628743,5.765078469032145,10.940325497287525,65.55153707052442,13.01989150090416,13.01989150090416,34.44846292947558,6.164931945556445,2.722177742193755,3.4427542033626897,5.204163330664532,88.63090472377903,6.164931945556445,10.98,10.98,2.338540280706058,1.0,-0.214282960404747,-0.3527043542002178,-1.0099491494590092
E01002814,0.964,25.028,0.158,0.109,3.043,-0.882,0.289,45.489,37.424,1970,118.2942857142857,54.471428571428575,64.02857142857142,266.0,135.0253807106599,4.912841491196669,11.672095548317046,57.274701411509234,16.612377850162865,16.612377850162865,42.725298588490766,14.119229045271178,6.857911250560286,7.261317794710892,3.675481846705513,82.20528910802331,14.119229045271178,6.4,6.4,2.746255253995935,4.0,-1.3640224543558688,0.2805045806034151,0.6135242697360642
E01002840,0.906,37.672,0.273,0.177,10.131,-0.228,0.862,38.622,40.423,1309,146.4,76.71428571428571,94.01428571428572,123.0,93.96485867074104,4.553506914438389,18.4,47.65714285714286,24.914285714285715,24.914285714285715,52.34285714285714,22.540592168099334,11.843361986628462,10.69723018147087,4.106972301814708,73.35243553008596,22.540592168099334,10.21,10.21,3.737860840739395,10.0,-0.0335508282891707,0.2941036381367373,1.961654746598604
E01002870,0.949,41.357,0.317,0.202,18.712,0.492,-0.048,39.724,28.105,1461,104.94,72.16,98.98,1023.0,700.2053388090349,6.552800766835885,21.604046242774565,44.50867052023121,27.095375722543352,27.095375722543352,55.49132947976879,23.979912115505336,12.5549278091651,11.42498430634024,2.9504080351537976,73.06967984934086,23.979912115505336,9.25,9.25,3.5820826253973865,10.0,-0.1526590489670394,0.1428732637788521,1.8090567449418664
E01002905,0.929,44.52000000000001,0.294,0.196,14.428,0.129,1.525,38.834,39.345,1542,99.42,88.17999999999999,99.72,168.0,108.94941634241243,4.700020408595707,18.40228245363766,39.37232524964337,28.38801711840228,28.38801711840228,60.62767475035663,18.95933014354067,10.944976076555024,8.014354066985646,4.246411483253588,76.79425837320574,18.95933014354067,7.64,7.64,3.418295098237307,9.0,-0.1051389208984759,0.5523196889158786,0.9074083781355844
E01002906,0.955,33.044,0.21,0.1579999999999999,12.324,0.406,0.217,40.016,35.634,1789,119.14,93.28,99.84,374.0,209.05533817775293,5.347371011135611,24.781144781144786,40.0,31.85185185185185,31.85185185185185,60.0,25.799086757990867,14.726027397260276,11.073059360730593,4.052511415525114,70.14840182648402,25.799086757990867,8.29,8.29,3.128919302550416,8.0,-0.2693566580445363,0.0116181913764823,0.8266746643372228
E01002913,0.968,18.046,0.107,0.062,3.343,-1.152,0.659,31.768,41.889,2121,137.6,92.2,100.0,149.0,70.24988213107025,4.266193164846623,8.823529411764707,65.24064171122996,11.43048128342246,11.43048128342246,34.759358288770045,11.92504258943782,5.224304372515616,6.700738216922203,4.940374787052811,83.13458262350937,11.92504258943782,6.87,6.87,2.7941910570544786,5.0,-0.235429608702485,0.1475113716980681,-0.2519300488056281
E01002868,0.96,9.26,0.012,0.009,0.7339999999999999,-2.84,0.114,35.056,33.642,1561,164.25,97.73333333333332,100.0,61.0,39.077514413837285,3.690815439230739,4.990583804143126,74.10546139359698,7.250470809792843,7.250470809792843,25.894538606403017,6.125461254612547,2.066420664206642,4.059040590405904,3.837638376383764,90.03690036900369,6.125461254612547,9.24,9.24,2.2291791488025985,1.0,-0.5410846284919215,-0.7502165345988998,-0.5825498909634206
E01002871,0.977,11.335,0.029,0.019,2.343,-2.652,0.167,29.494000000000003,50.965,1611,145.73333333333332,92.25,98.35,257.0,159.528243327126,5.07846989797453,5.824446267432322,72.19031993437244,8.1214109926169,8.1214109926169,27.80968006562756,6.228610540725531,2.3956194387405887,3.8329911019849416,4.243668720054758,89.5277207392197,6.228610540725531,8.44,8.44,2.196824774890586,1.0,-0.364067293621622,-0.6239598250075045,-0.9736657993238662
E01002890,0.965,8.969,0.012,0.009,0.339,-2.614,0.3099999999999999,26.948,39.726,1776,173.76666666666665,94.13333333333333,97.45,104.0,58.55855855855856,4.086960006021244,6.188340807174888,70.94170403587444,9.147982062780269,9.147982062780269,29.058295964125563,5.575411007862759,1.5010721944245888,4.07433881343817,4.6461758398856325,89.77841315225162,5.575411007862759,9.67,9.67,1.867379536654261,1.0,-1.048852213512261,-0.7904575766140035,-1.0168242892581418
E01002911,0.959,12.544,0.025,0.015,1.516,-2.709,0.6599999999999999,26.063,55.260000000000005,1716,132.29999999999998,89.75,99.9,258.0,150.34965034965035,5.019592725254622,6.442577030812324,69.187675070028,8.683473389355742,8.683473389355742,30.812324929971997,5.05443234836703,1.244167962674961,3.8102643856920686,4.432348367029549,90.51321928460342,5.05443234836703,8.62,8.62,2.174696026912853,1.0,-0.3802232555409306,-0.4557983854249178,-1.1857506490496676
E01035714,0.9715,11.151993887530562,0.0147353300733496,0.0099804400977995,2.8372848410757943,-2.3720403422982885,0.3868838630806846,33.09900611246944,41.85184046454768,3272,131.56333333333333,88.6,98.98,179.0,54.706601466992666,4.020098658168901,6.877113866967305,63.81059751972943,9.07553551296505,9.07553551296505,36.18940248027057,7.322987390882638,2.424830261881668,4.89815712900097,3.443258971871969,89.2337536372454,7.322987390882638,9.56,9.56,2.7471083500682028,,,,
E01002817,0.955,10.4,0.033,0.0249999999999999,0.626,-2.356,0.362,26.76,44.603,1526,154.58333333333334,92.08333333333331,97.31666666666666,187.0,122.54259501965925,4.816585995548673,6.962576153176675,69.71279373368147,11.22715404699739,11.22715404699739,30.28720626631853,8.382789317507418,3.4124629080118694,4.9703264094955495,4.2284866468842734,87.3887240356083,8.382789317507418,9.96,9.96,2.3262373919892667,1.0,-0.3493114885146513,-0.7055899645291763,-0.5554372545363045
E01002827,0.952,12.075,0.024,0.025,0.018,-2.29,0.2019999999999999,29.617000000000004,56.329,1689,148.7875,90.675,95.2375,228.0,134.99111900532858,4.912589582172413,5.049088359046284,72.51051893408135,7.152875175315568,7.152875175315568,27.489481065918653,5.008736167734421,1.3977868375072802,3.61094933022714,6.581246359930111,88.41001747233547,5.008736167734421,9.78,9.78,2.2708347393003967,1.0,-0.3679760668896003,-0.3871061538175827,-1.0056742415283273
E01002877,0.961,41.17700000000001,0.313,0.1819999999999999,19.574,0.357,0.536,38.113,34.629,1675,155.65,84.6,99.74,228.0,136.11940298507463,4.9208521008805,18.47826086956521,42.44851258581236,24.71395881006865,24.71395881006865,57.55148741418764,13.677950594693506,6.816102470265324,6.86184812442818,3.796889295516926,82.52516010978958,13.677950594693506,9.3,9.3,3.162775084554577,8.0,-0.1655228444272277,0.2620203833499585,0.5643568334910042
